Postaja,Leto,Mesec,NO2
murska s.-rakican,2004,Jul,8.0
zavodnje,2004,Jul,6.0
skale,2004,Jul,4.0
kovk,2004,Jul,8.0
sv.mohor,2004,Jul,1.0
vnajnarje,2004,Jul,3.0
eis celje,2004,Jul,22.0
ljubljana b.,2004,Avg,18.0
maribor,2004,Avg,28.0
celje,2004,Avg,13.0
trbovlje,2004,Avg,22.0
nova gorica,2004,Avg,20.0
murska s.-rakican,2004,Avg,9.0
zavodnje,2004,Avg,4.0
skale,2004,Avg,4.0
kovk,2004,Avg,14.0
sv.mohor,2004,Avg,2.0
vnajnarje,2004,Avg,3.0
eis celje,2004,Avg,21.0
ljubljana b.,2004,Sep,24.0
maribor,2004,Sep,25.0
celje,2004,Sep,21.0
trbovlje,2004,Sep,25.0
nova gorica,2004,Sep,20.0
murska s.-rakican,2004,Sep,10.0
zavodnje,2004,Sep,2.0
skale,2004,Sep,5.0
kovk,2004,Sep,6.0
sv.mohor,2004,Sep,2.0
vnajnarje,2004,Sep,3.0
eis celje,2004,Sep,
ljubljana b.,2004,Okt,23.0
maribor,2004,Okt,28.0
celje,2004,Okt,20.0
trbovlje,2004,Okt,24.0
nova gorica,2004,Okt,20.0
murska s.-rakican,2004,Okt,10.0
zavodnje,2004,Okt,2.0
skale,2004,Okt,7.0
kovk,2004,Okt,14.0
sv.mohor,2004,Okt,2.0
vnajnarje,2004,Okt,
eis celje,2004,Okt,
ljubljana b.,2004,Nov,31.0
maribor,2004,Nov,33.0
celje,2004,Nov,28.0
trbovlje,2004,Nov,22.0
nova gorica,2004,Nov,31.0
murska s.-rakican,2004,Nov,13.0
zavodnje,2004,Nov,4.0
skale,2004,Nov,12.0
kovk,2004,Nov,12.0
sv.mohor,2004,Nov,5.0
vnajnarje,2004,Nov,9.0
eis celje,2004,Nov,37.0
ljubljana b.,2004,Dec,35.0
maribor,2004,Dec,31.0
celje,2004,Dec,29.0
trbovlje,2004,Dec,30.0
nova gorica,2004,Dec,37.0
murska s.-rakican,2004,Dec,13.0
zavodnje,2004,Dec,14.0
skale,2004,Dec,14.0
kovk,2004,Dec,31.0
sv.mohor,2004,Dec,7.0
vnajnarje,2004,Dec,10.0
eis celje,2004,Dec,
ljubljana b.,2005,Jan,42.0
maribor,2005,Jan,32.0
celje,2005,Jan,37.0
trbovlje,2005,Jan,26.0
nova gorica,2005,Jan,34.0
murska s.-rakican,2005,Jan,14.0
zavodnje,2005,Jan,11.0
skale,2005,Jan,7.0
kovk,2005,Jan,12.0
eis teb,2005,Jan,8.0
vnajnarje,2005,Jan,7.0
eis celje,2005,Jan,
ljubljana b.,2005,Feb,35.0
maribor,2005,Feb,40.0
celje,2005,Feb,43.0
trbovlje,2005,Feb,27.0
nova gorica,2005,Feb,32.0
murska s.-rakican,2005,Feb,23.0
zavodnje,2005,Feb,8.0
skale,2005,Feb,9.0
kovk,2005,Feb,10.0
eis teb,2005,Feb,
vnajnarje,2005,Feb,5.0
eis celje,2005,Feb,
ljubljana b.,2005,Mar,35.0
maribor,2005,Mar,43.0
celje,2005,Mar,43.0
trbovlje,2005,Mar,33.0
nova gorica,2005,Mar,34.0
murska s.-rakican,2005,Mar,17.0
zavodnje,2005,Mar,4.0
skale,2005,Mar,5.0
kovk,2005,Mar,16.0
eis teb,2005,Mar,
vnajnarje,2005,Mar,4.0
eis celje,2005,Mar,
ljubljana b.,2005,Apr,24.0
maribor,2005,Apr,30.0
celje,2005,Apr,18.0
trbovlje,2005,Apr,22.0
nova gorica,2005,Apr,21.0
murska s.-rakican,2005,Apr,13.0
zavodnje,2005,Apr,2.0
skale,2005,Apr,3.0
kovk,2005,Apr,9.0
eis teb,2005,Apr,3.0
vnajnarje,2005,Apr,3.0
eis celje,2005,Apr,
ljubljana b.,2005,Maj,19.0
maribor,2005,Maj,32.0
celje,2005,Maj,17.0
trbovlje,2005,Maj,24.0
nova gorica,2005,Maj,21.0
murska s.-rakican,2005,Maj,9.0
zavodnje,2005,Maj,1.0
skale,2005,Maj,1.0
kovk,2005,Maj,
eis teb,2005,Maj,4.0
vnajnarje,2005,Maj,2.0
eis celje,2005,Maj,43.0
ljubljana b.,2005,Jun,26.0
maribor,2005,Jun,28.0
celje,2005,Jun,16.0
trbovlje,2005,Jun,24.0
nova gorica,2005,Jun,18.0
murska s.-rakican,2005,Jun,12.0
zavodnje,2005,Jun,2.0
skale,2005,Jun,1.0
kovk,2005,Jun,10.0
eis teb,2005,Jun,2.0
vnajnarje,2005,Jun,3.0
eis celje,2005,Jun,32.0
ljubljana b.,2005,Jul,22.0
maribor,2005,Jul,25.0
celje,2005,Jul,16.0
trbovlje,2005,Jul,20.0
nova gorica,2005,Jul,16.0
murska s.-rakican,2005,Jul,10.0
zavodnje,2005,Jul,1.0
skale,2005,Jul,0.0
kovk,2005,Jul,9.0
eis teb,2005,Jul,
vnajnarje,2005,Jul,3.0
eis celje,2005,Jul,31.0
ljubljana b.,2005,Avg,20.0
maribor,2005,Avg,24.0
celje,2005,Avg,15.0
trbovlje,2005,Avg,19.0
nova gorica,2005,Avg,13.0
murska s.-rakican,2005,Avg,10.0
zavodnje,2005,Avg,1.0
skale,2005,Avg,0.0
kovk,2005,Avg,8.0
eis teb,2005,Avg,1.0
vnajnarje,2005,Avg,2.0
eis celje,2005,Avg,29.0
ljubljana b.,2005,Sep,22.0
maribor,2005,Sep,26.0
celje,2005,Sep,15.0
trbovlje,2005,Sep,17.0
nova gorica,2005,Sep,20.0
murska s.-rakican,2005,Sep,11.0
zavodnje,2005,Sep,1.0
skale,2005,Sep,0.0
kovk,2005,Sep,8.0
eis teb,2005,Sep,3.0
vnajnarje,2005,Sep,2.0
eis celje,2005,Sep,36.0
ljubljana b.,2005,Okt,23.0
maribor,2005,Okt,27.0
celje,2005,Okt,26.0
trbovlje,2005,Okt,25.0
nova gorica,2005,Okt,24.0
murska s.-rakican,2005,Okt,15.0
zavodnje,2005,Okt,2.0
skale,2005,Okt,4.0
kovk,2005,Okt,10.0
eis teb,2005,Okt,
vnajnarje,2005,Okt,3.0
eis celje,2005,Okt,
ljubljana b.,2005,Nov,28.0
maribor,2005,Nov,39.0
celje,2005,Nov,33.0
trbovlje,2005,Nov,24.0
nova gorica,2005,Nov,22.0
murska s.-rakican,2005,Nov,20.0
zavodnje,2005,Nov,3.0
skale,2005,Nov,17.0
kovk,2005,Nov,14.0
eis teb,2005,Nov,
vnajnarje,2005,Nov,4.0
eis celje,2005,Nov,48.0
ljubljana b.,2005,Dec,40.0
maribor,2005,Dec,47.0
celje,2005,Dec,39.0
trbovlje,2005,Dec,25.0
nova gorica,2005,Dec,30.0
murska s.-rakican,2005,Dec,18.0
zavodnje,2005,Dec,5.0
skale,2005,Dec,15.0
kovk,2005,Dec,11.0
eis teb,2005,Dec,
vnajnarje,2005,Dec,11.0
eis celje,2005,Dec,60.0
ljubljana bezigrad,2006,Jan,45.0
maribor,2006,Jan,55.0
celje,2006,Jan,51.0
trbovlje,2006,Jan,27.0
murska s.-rakican,2006,Jan,16.0
nova gorica,2006,Jan,34.0
vnajnarje,2006,Jan,9.0
zavodnje,2006,Jan,5.0
skale,2006,Jan,18.0
kovk,2006,Jan,19.0
eis teb (sv.mohor),2006,Jan,7.0
ljubljana bezigrad,2006,Feb,45.0
maribor,2006,Feb,53.0
celje,2006,Feb,46.0
trbovlje,2006,Feb,32.0
murska s.-rakican,2006,Feb,17.0
nova gorica,2006,Feb,30.0
vnajnarje,2006,Feb,9.0
zavodnje,2006,Feb,7.0
skale,2006,Feb,18.0
kovk,2006,Feb,17.0
eis teb (sv.mohor),2006,Feb,3.0
ljubljana bezigrad,2006,Mar,37.0
maribor,2006,Mar,44.0
celje,2006,Mar,31.0
trbovlje,2006,Mar,25.0
murska s.-rakican,2006,Mar,15.0
nova gorica,2006,Mar,25.0
vnajnarje,2006,Mar,6.0
zavodnje,2006,Mar,3.0
skale,2006,Mar,11.0
kovk,2006,Mar,12.0
eis teb (sv.mohor),2006,Mar,2.0
ljubljana bezigrad,2006,Apr,26.0
maribor,2006,Apr,33.0
celje,2006,Apr,22.0
trbovlje,2006,Apr,24.0
murska s.-rakican,2006,Apr,15.0
nova gorica,2006,Apr,20.0
vnajnarje,2006,Apr,3.0
zavodnje,2006,Apr,1.0
skale,2006,Apr,7.0
kovk,2006,Apr,11.0
eis teb (sv.mohor),2006,Apr,1.0
ljubljana bezigrad,2006,Maj,19.0
maribor,2006,Maj,33.0
celje,2006,Maj,22.0
trbovlje,2006,Maj,22.0
murska s.-rakican,2006,Maj,19.0
nova gorica,2006,Maj,17.0
vnajnarje,2006,Maj,3.0
zavodnje,2006,Maj,1.0
skale,2006,Maj,6.0
kovk,2006,Maj,9.0
eis teb (sv.mohor),2006,Maj,1.0
ljubljana bezigrad,2006,Jun,20.0
maribor,2006,Jun,37.0
celje,2006,Jun,21.0
trbovlje,2006,Jun,23.0
murska s.-rakican,2006,Jun,9.0
nova gorica,2006,Jun,19.0
vnajnarje,2006,Jun,2.0
zavodnje,2006,Jun,3.0
skale,2006,Jun,5.0
kovk,2006,Jun,7.0
eis teb (sv.mohor),2006,Jun,3.0
ljubljana bezigrad,2006,Jul,20.0
maribor,2006,Jul,33.0
celje,2006,Jul,19.0
trbovlje,2006,Jul,23.0
murska s.-rakican,2006,Jul,9.0
nova gorica,2006,Jul,15.0
vnajnarje,2006,Jul,2.0
zavodnje,2006,Jul,4.0
skale,2006,Jul,5.0
kovk,2006,Jul,10.0
eis teb (sv.mohor),2006,Jul,7.0
ljubljana bezigrad,2006,Avg,23.0
maribor,2006,Avg,28.0
celje,2006,Avg,16.0
trbovlje,2006,Avg,19.0
murska s.-rakican,2006,Avg,10.0
nova gorica,2006,Avg,16.0
vnajnarje,2006,Avg,3.0
zavodnje,2006,Avg,1.0
skale,2006,Avg,4.0
kovk,2006,Avg,11.0
eis teb (sv.mohor),2006,Avg,7.0
ljubljana bezigrad,2006,Sep,27.0
maribor,2006,Sep,38.0
celje,2006,Sep,26.0
trbovlje,2006,Sep,22.0
murska s.-rakican,2006,Sep,11.0
nova gorica,2006,Sep,20.0
vnajnarje,2006,Sep,3.0
zavodnje,2006,Sep,5.0
skale,2006,Sep,3.0
kovk,2006,Sep,7.0
eis teb (sv.mohor),2006,Sep,5.0
ljubljana bezigrad,2006,Okt,28.0
maribor,2006,Okt,37.0
celje,2006,Okt,24.0
trbovlje,2006,Okt,22.0
murska s.-rakican,2006,Okt,16.0
nova gorica,2006,Okt,25.0
vnajnarje,2006,Okt,4.0
zavodnje,2006,Okt,3.0
skale,2006,Okt,1.0
kovk,2006,Okt,12.0
eis teb (sv.mohor),2006,Okt,4.0
ljubljana bezigrad,2006,Nov,35.0
maribor,2006,Nov,44.0
celje,2006,Nov,29.0
trbovlje,2006,Nov,20.0
murska s.-rakican,2006,Nov,23.0
nova gorica,2006,Nov,33.0
vnajnarje,2006,Nov,7.0
zavodnje,2006,Nov,6.0
skale,2006,Nov,0.0
kovk,2006,Nov,15.0
eis teb (sv.mohor),2006,Nov,2.0
ljubljana bezigrad,2006,Dec,32.0
maribor,2006,Dec,39.0
celje,2006,Dec,30.0
trbovlje,2006,Dec,24.0
murska s.-rakican,2006,Dec,22.0
nova gorica,2006,Dec,31.0
vnajnarje,2006,Dec,7.0
zavodnje,2006,Dec,4.0
skale,2006,Dec,24.0
kovk,2006,Dec,11.0
eis teb (sv.mohor),2006,Dec,8.0
ljubljana bezigrad,2007,Jan,34.0
maribor,2007,Jan,46.0
celje,2007,Jan,29.0
trbovlje,2007,Jan,20.0
murska s.-rakican,2007,Jan,25.0
nova gorica,2007,Jan,32.0
vnajnarje,2007,Jan,9.0
zavodnje,2007,Jan,4.0
skale,2007,Jan,18.0
kovk,2007,Jan,20.0
eis teb (sv.mohor),2007,Jan,7.0
ljubljana bezigrad,2007,Feb,38.0
maribor,2007,Feb,44.0
celje,2007,Feb,28.0
trbovlje,2007,Feb,22.0
murska s.-rakican,2007,Feb,20.0
nova gorica,2007,Feb,29.0
vnajnarje,2007,Feb,9.0
zavodnje,2007,Feb,7.0
skale,2007,Feb,18.0
kovk,2007,Feb,17.0
eis teb (sv.mohor),2007,Feb,3.0
ljubljana bezigrad,2007,Mar,32.0
maribor,2007,Mar,42.0
celje,2007,Mar,27.0
trbovlje,2007,Mar,28.0
murska s.-rakican,2007,Mar,17.0
nova gorica,2007,Mar,23.0
vnajnarje,2007,Mar,6.0
zavodnje,2007,Mar,2.0
skale,2007,Mar,11.0
kovk,2007,Mar,12.0
eis teb (sv.mohor),2007,Mar,2.0
ljubljana bezigrad,2007,Apr,26.0
maribor,2007,Apr,36.0
celje,2007,Apr,20.0
trbovlje,2007,Apr,25.0
murska s.-rakican,2007,Apr,16.0
nova gorica,2007,Apr,20.0
vnajnarje,2007,Apr,3.0
zavodnje,2007,Apr,0.0
skale,2007,Apr,6.0
kovk,2007,Apr,11.0
eis teb (sv.mohor),2007,Apr,1.0
ljubljana bezigrad,2007,Maj,19.0
maribor,2007,Maj,33.0
celje,2007,Maj,15.0
trbovlje,2007,Maj,16.0
murska s.-rakican,2007,Maj,12.0
nova gorica,2007,Maj,19.0
vnajnarje,2007,Maj,3.0
zavodnje,2007,Maj,1.0
skale,2007,Maj,6.0
kovk,2007,Maj,10.0
eis teb (sv.mohor),2007,Maj,1.0
ljubljana bezigrad,2007,Jun,18.0
maribor,2007,Jun,30.0
celje,2007,Jun,17.0
trbovlje,2007,Jun,19.0
murska s.-rakican,2007,Jun,11.0
nova gorica,2007,Jun,19.0
vnajnarje,2007,Jun,2.0
zavodnje,2007,Jun,2.0
skale,2007,Jun,5.0
kovk,2007,Jun,7.0
eis teb (sv.mohor),2007,Jun,3.0
ljubljana bezigrad,2007,Jul,19.0
maribor,2007,Jul,31.0
celje,2007,Jul,19.0
trbovlje,2007,Jul,21.0
murska s.-rakican,2007,Jul,13.0
nova gorica,2007,Jul,19.0
vnajnarje,2007,Jul,1.0
zavodnje,2007,Jul,4.0
skale,2007,Jul,5.0
kovk,2007,Jul,10.0
eis teb (sv.mohor),2007,Jul,7.0
ljubljana bezigrad,2007,Avg,19.0
maribor,2007,Avg,29.0
celje,2007,Avg,17.0
trbovlje,2007,Avg,17.0
murska s.-rakican,2007,Avg,13.0
nova gorica,2007,Avg,18.0
vnajnarje,2007,Avg,3.0
zavodnje,2007,Avg,1.0
skale,2007,Avg,4.0
kovk,2007,Avg,11.0
eis teb (sv.mohor),2007,Avg,7.0
ljubljana bezigrad,2007,Sep,26.0
maribor,2007,Sep,33.0
celje,2007,Sep,22.0
trbovlje,2007,Sep,20.0
murska s.-rakican,2007,Sep,13.0
nova gorica,2007,Sep,19.0
vnajnarje,2007,Sep,3.0
zavodnje,2007,Sep,2.0
skale,2007,Sep,2.0
kovk,2007,Sep,7.0
eis teb (sv.mohor),2007,Sep,5.0
ljubljana bezigrad,2007,Okt,31.0
maribor,2007,Okt,34.0
celje,2007,Okt,25.0
trbovlje,2007,Okt,22.0
murska s.-rakican,2007,Okt,16.0
nova gorica,2007,Okt,28.0
vnajnarje,2007,Okt,4.0
zavodnje,2007,Okt,4.0
skale,2007,Okt,1.0
kovk,2007,Okt,12.0
eis teb (sv.mohor),2007,Okt,4.0
ljubljana bezigrad,2007,Nov,36.0
maribor,2007,Nov,44.0
celje,2007,Nov,33.0
trbovlje,2007,Nov,27.0
murska s.-rakican,2007,Nov,22.0
nova gorica,2007,Nov,33.0
vnajnarje,2007,Nov,7.0
zavodnje,2007,Nov,6.0
skale,2007,Nov,0.0
kovk,2007,Nov,15.0
eis teb (sv.mohor),2007,Nov,2.0
ljubljana bezigrad,2007,Dec,37.0
maribor,2007,Dec,44.0
celje,2007,Dec,29.0
trbovlje,2007,Dec,27.0
murska s.-rakican,2007,Dec,25.0
nova gorica,2007,Dec,34.0
vnajnarje,2007,Dec,7.0
zavodnje,2007,Dec,4.0
skale,2007,Dec,24.0
kovk,2007,Dec,11.0
eis teb (sv.mohor),2007,Dec,8.0
ljubljana bezigrad,2008,Jan,37.0
maribor,2008,Jan,42.0
celje,2008,Jan,34.0
trbovlje,2008,Jan,27.0
murska s.-rakican,2008,Jan,26.0
nova gorica,2008,Jan,33.0
koper,2008,Jan,34.0
vnajnarje,2008,Jan,9.0
zavodnje,2008,Jan,4.0
skale,2008,Jan,18.0
kovk,2008,Jan,20.0
eis teb (sv.mohor),2008,Jan,7.0
ljubljana bezigrad,2008,Feb,33.0
maribor,2008,Feb,48.0
celje,2008,Feb,36.0
trbovlje,2008,Feb,27.0
murska s.-rakican,2008,Feb,24.0
nova gorica,2008,Feb,41.0
koper,2008,Feb,39.0
vnajnarje,2008,Feb,9.0
zavodnje,2008,Feb,7.0
skale,2008,Feb,18.0
kovk,2008,Feb,17.0
eis teb (sv.mohor),2008,Feb,3.0
ljubljana bezigrad,2008,Mar,26.0
maribor,2008,Mar,38.0
celje,2008,Mar,25.0
trbovlje,2008,Mar,24.0
murska s.-rakican,2008,Mar,17.0
nova gorica,2008,Mar,28.0
koper,2008,Mar,23.0
vnajnarje,2008,Mar,6.0
zavodnje,2008,Mar,2.0
skale,2008,Mar,11.0
kovk,2008,Mar,12.0
eis teb (sv.mohor),2008,Mar,2.0
ljubljana bezigrad,2008,Apr,27.0
maribor,2008,Apr,34.0
celje,2008,Apr,26.0
trbovlje,2008,Apr,21.0
murska s.-rakican,2008,Apr,15.0
nova gorica,2008,Apr,29.0
koper,2008,Apr,20.0
vnajnarje,2008,Apr,3.0
zavodnje,2008,Apr,0.0
skale,2008,Apr,6.0
kovk,2008,Apr,11.0
eis teb (sv.mohor),2008,Apr,1.0
ljubljana bezigrad,2008,Maj,20.0
maribor,2008,Maj,27.0
celje,2008,Maj,18.0
trbovlje,2008,Maj,16.0
murska s.-rakican,2008,Maj,11.0
nova gorica,2008,Maj,24.0
koper,2008,Maj,16.0
vnajnarje,2008,Maj,3.0
zavodnje,2008,Maj,1.0
skale,2008,Maj,6.0
kovk,2008,Maj,10.0
eis teb (sv.mohor),2008,Maj,1.0
ljubljana bezigrad,2008,Jun,16.0
maribor,2008,Jun,28.0
celje,2008,Jun,14.0
trbovlje,2008,Jun,21.0
murska s.-rakican,2008,Jun,10.0
nova gorica,2008,Jun,24.0
koper,2008,Jun,14.0
vnajnarje,2008,Jun,2.0
zavodnje,2008,Jun,2.0
skale,2008,Jun,5.0
kovk,2008,Jun,7.0
eis teb (sv.mohor),2008,Jun,3.0
ljubljana bezigrad,2008,Jul,22.0
maribor,2008,Jul,26.0
celje,2008,Jul,15.0
trbovlje,2008,Jul,20.0
murska s.-rakican,2008,Jul,11.0
nova gorica,2008,Jul,20.0
koper,2008,Jul,14.0
vnajnarje,2008,Jul,1.0
zavodnje,2008,Jul,4.0
skale,2008,Jul,5.0
kovk,2008,Jul,10.0
eis teb (sv.mohor),2008,Jul,7.0
ljubljana bezigrad,2008,Avg,23.0
maribor,2008,Avg,25.0
celje,2008,Avg,13.0
trbovlje,2008,Avg,18.0
murska s.-rakican,2008,Avg,10.0
nova gorica,2008,Avg,22.0
koper,2008,Avg,14.0
vnajnarje,2008,Avg,3.0
zavodnje,2008,Avg,1.0
skale,2008,Avg,4.0
kovk,2008,Avg,11.0
eis teb (sv.mohor),2008,Avg,7.0
ljubljana bezigrad,2008,Sep,27.0
maribor,2008,Sep,28.0
celje,2008,Sep,16.0
trbovlje,2008,Sep,20.0
murska s.-rakican,2008,Sep,10.0
nova gorica,2008,Sep,25.0
koper,2008,Sep,13.0
vnajnarje,2008,Sep,3.0
zavodnje,2008,Sep,4.0
skale,2008,Sep,2.0
kovk,2008,Sep,7.0
eis teb (sv.mohor),2008,Sep,5.0
ljubljana bezigrad,2008,Okt,39.0
maribor,2008,Okt,34.0
celje,2008,Okt,19.0
trbovlje,2008,Okt,26.0
murska s.-rakican,2008,Okt,15.0
nova gorica,2008,Okt,35.0
koper,2008,Okt,19.0
vnajnarje,2008,Okt,4.0
zavodnje,2008,Okt,2.0
skale,2008,Okt,1.0
kovk,2008,Okt,12.0
eis teb (sv.mohor),2008,Okt,4.0
ljubljana bezigrad,2008,Nov,42.0
maribor,2008,Nov,35.0
celje,2008,Nov,18.0
trbovlje,2008,Nov,31.0
murska s.-rakican,2008,Nov,23.0
nova gorica,2008,Nov,37.0
koper,2008,Nov,23.0
vnajnarje,2008,Nov,7.0
zavodnje,2008,Nov,6.0
skale,2008,Nov,0.0
kovk,2008,Nov,15.0
eis teb (sv.mohor),2008,Nov,2.0
ljubljana bezigrad,2008,Dec,36.0
maribor,2008,Dec,38.0
celje,2008,Dec,18.0
trbovlje,2008,Dec,26.0
murska s.-rakican,2008,Dec,22.0
nova gorica,2008,Dec,39.0
koper,2008,Dec,24.0
vnajnarje,2008,Dec,7.0
zavodnje,2008,Dec,4.0
skale,2008,Dec,24.0
kovk,2008,Dec,11.0
eis teb (sv.mohor),2008,Dec,8.0
ljubljana bezigrad,2009,Jan,50.0
ljubljana center,2009,Jan,70.0
maribor center,2009,Jan,46.0
celje,2009,Jan,23.0
trbovlje,2009,Jan,28.0
murska s.-rakican,2009,Jan,25.0
nova gorica,2009,Jan,42.0
koper,2009,Jan,23.0
vnajnarje,2009,Jan,9.0
zavodnje,2009,Jan,11.0
skale,2009,Jan,15.0
kovk,2009,Jan,13.0
sv.mohor,2009,Jan,11.0
ljubljana bezigrad,2009,Feb,48.0
ljubljana center,2009,Feb,75.0
maribor center,2009,Feb,42.0
celje,2009,Feb,26.0
trbovlje,2009,Feb,17.0
murska s.-rakican,2009,Feb,17.0
nova gorica,2009,Feb,43.0
koper,2009,Feb,26.0
vnajnarje,2009,Feb,8.0
zavodnje,2009,Feb,9.0
skale,2009,Feb,12.0
kovk,2009,Feb,12.0
sv.mohor,2009,Feb,3.0
ljubljana bezigrad,2009,Mar,31.0
ljubljana center,2009,Mar,66.0
maribor center,2009,Mar,38.0
celje,2009,Mar,30.0
trbovlje,2009,Mar,22.0
murska s.-rakican,2009,Mar,14.0
nova gorica,2009,Mar,31.0
koper,2009,Mar,19.0
vnajnarje,2009,Mar,5.0
zavodnje,2009,Mar,3.0
skale,2009,Mar,9.0
kovk,2009,Mar,10.0
sv.mohor,2009,Mar,7.0
ljubljana bezigrad,2009,Apr,29.0
ljubljana center,2009,Apr,61.0
maribor center,2009,Apr,31.0
celje,2009,Apr,25.0
trbovlje,2009,Apr,20.0
murska s.-rakican,2009,Apr,13.0
nova gorica,2009,Apr,21.0
koper,2009,Apr,16.0
vnajnarje,2009,Apr,6.0
zavodnje,2009,Apr,3.0
skale,2009,Apr,8.0
kovk,2009,Apr,13.0
sv.mohor,2009,Apr,6.0
ljubljana bezigrad,2009,Maj,20.0
ljubljana center,2009,Maj,47.0
maribor center,2009,Maj,24.0
celje,2009,Maj,15.0
trbovlje,2009,Maj,16.0
murska s.-rakican,2009,Maj,9.0
nova gorica,2009,Maj,16.0
koper,2009,Maj,14.0
vnajnarje,2009,Maj,2.0
zavodnje,2009,Maj,3.0
skale,2009,Maj,7.0
kovk,2009,Maj,7.0
sv.mohor,2009,Maj,5.0
ljubljana bezigrad,2009,Jun,20.0
ljubljana center,2009,Jun,53.0
maribor center,2009,Jun,31.0
celje,2009,Jun,12.0
trbovlje,2009,Jun,13.0
murska s.-rakican,2009,Jun,9.0
nova gorica,2009,Jun,17.0
koper,2009,Jun,13.0
vnajnarje,2009,Jun,2.0
zavodnje,2009,Jun,1.0
skale,2009,Jun,5.0
kovk,2009,Jun,8.0
sv.mohor,2009,Jun,6.0
ljubljana bezigrad,2009,Jul,21.0
ljubljana center,2009,Jul,43.0
maribor center,2009,Jul,25.0
celje,2009,Jul,13.0
trbovlje,2009,Jul,12.0
murska s.-rakican,2009,Jul,9.0
nova gorica,2009,Jul,19.0
koper,2009,Jul,17.0
vnajnarje,2009,Jul,1.0
zavodnje,2009,Jul,1.0
skale,2009,Jul,5.0
kovk,2009,Jul,6.0
sv.mohor,2009,Jul,7.0
ljubljana bezigrad,2009,Avg,21.0
ljubljana center,2009,Avg,45.0
maribor center,2009,Avg,23.0
celje,2009,Avg,15.0
trbovlje,2009,Avg,14.0
murska s.-rakican,2009,Avg,9.0
nova gorica,2009,Avg,21.0
koper,2009,Avg,15.0
vnajnarje,2009,Avg,0.0
zavodnje,2009,Avg,1.0
skale,2009,Avg,4.0
kovk,2009,Avg,4.0
sv.mohor,2009,Avg,6.0
ljubljana bezigrad,2009,Sep,29.0
ljubljana center,2009,Sep,54.0
maribor center,2009,Sep,29.0
celje,2009,Sep,21.0
trbovlje,2009,Sep,12.0
murska s.-rakican,2009,Sep,11.0
nova gorica,2009,Sep,25.0
koper,2009,Sep,17.0
vnajnarje,2009,Sep,1.0
zavodnje,2009,Sep,0.0
skale,2009,Sep,6.0
kovk,2009,Sep,6.0
sv.mohor,2009,Sep,5.0
ljubljana bezigrad,2009,Okt,33.0
ljubljana center,2009,Okt,47.0
maribor center,2009,Okt,32.0
celje,2009,Okt,24.0
trbovlje,2009,Okt,13.0
murska s.-rakican,2009,Okt,15.0
nova gorica,2009,Okt,28.0
koper,2009,Okt,15.0
vnajnarje,2009,Okt,3.0
zavodnje,2009,Okt,4.0
skale,2009,Okt,10.0
kovk,2009,Okt,9.0
sv.mohor,2009,Okt,4.0
ljubljana bezigrad,2009,Nov,39.0
ljubljana center,2009,Nov,48.0
maribor center,2009,Nov,36.0
celje,2009,Nov,29.0
trbovlje,2009,Nov,13.0
murska s.-rakican,2009,Nov,19.0
nova gorica,2009,Nov,34.0
koper,2009,Nov,24.0
vnajnarje,2009,Nov,5.0
zavodnje,2009,Nov,3.0
skale,2009,Nov,11.0
kovk,2009,Nov,13.0
sv.mohor,2009,Nov,8.0
ljubljana bezigrad,2009,Dec,38.0
ljubljana center,2009,Dec,61.0
maribor center,2009,Dec,34.0
celje,2009,Dec,34.0
trbovlje,2009,Dec,18.0
murska s.-rakican,2009,Dec,22.0
nova gorica,2009,Dec,35.0
koper,2009,Dec,26.0
vnajnarje,2009,Dec,5.0
zavodnje,2009,Dec,10.0
skale,2009,Dec,15.0
kovk,2009,Dec,8.0
sv.mohor,2009,Dec,11.0
ljubljana bezigrad,2010,Jan,53.0
ljubljana center,2010,Jan,82.0
maribor center,2010,Jan,43.0
celje,2010,Jan,42.0
trbovlje,2010,Jan,26.0
hrastnik,2010,Jan,25.0
nova gorica,2010,Jan,37.0
koper,2010,Jan,26.0
iskrba,2010,Jan,3.6
vnajnarje,2010,Jan,8.0
zavodnje,2010,Jan,8.0
skale,2010,Jan,13.0
kovk,2010,Jan,11.0
dobovec,2010,Jan,10.0
sv.mohor,2010,Jan,4.0
ljubljana bezigrad,2010,Feb,57.0
ljubljana center,2010,Feb,103.0
maribor center,2010,Feb,49.0
celje,2010,Feb,43.0
trbovlje,2010,Feb,31.0
hrastnik,2010,Feb,25.0
nova gorica,2010,Feb,40.0
koper,2010,Feb,26.0
iskrba,2010,Feb,2.7
vnajnarje,2010,Feb,8.0
zavodnje,2010,Feb,5.0
skale,2010,Feb,13.0
kovk,2010,Feb,12.0
dobovec,2010,Feb,9.0
sv.mohor,2010,Feb,3.0
ljubljana bezigrad,2010,Mar,36.0
ljubljana center,2010,Mar,75.0
maribor center,2010,Mar,38.0
celje,2010,Mar,27.0
trbovlje,2010,Mar,20.0
hrastnik,2010,Mar,16.0
nova gorica,2010,Mar,32.0
koper,2010,Mar,25.0
iskrba,2010,Mar,1.9
vnajnarje,2010,Mar,3.0
zavodnje,2010,Mar,4.0
skale,2010,Mar,9.0
kovk,2010,Mar,9.0
dobovec,2010,Mar,34.0
sv.mohor,2010,Mar,3.0
ljubljana bezigrad,2010,Apr,30.0
ljubljana center,2010,Apr,69.0
maribor center,2010,Apr,29.0
