Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
lj bežigrad,28.0,35.0,32,21,22,19,19,22,20,33,24,48
maribor,33.0,39.0,39,23,22,19,16,18,18,30,33,42
celje,33.0,42.0,39,23,20,16,16,19,19,35,33,50
ms rakičan,32.0,37.0,36,20,17,15,16,17,16,33,34,48
nova gorica,33.0,20.0,24,20,17,14,14,16,15,22,18,30
trbovlje,29.0,34.0,34,22,17,14,14,18,20,42,42,40
zagorje,32.0,38.0,37,23,20,17,19,28,37,54,32,50
hrastnik,21.0,27.0,29,19,17,14,14,18,16,27,23,34
koper,24.0,16.0,21,19,17,14,15,17,17,21,16,23
iskrba,9.0,15.0,17,15,15,13,13,13,21,14,10,10
žerjav,27.0,27.0,32,23,20,15,16,18,18,25,24,31
lj biotehniška,21.0,27.0,28,18,16,15,15,17,16,26,19,38
kranj,24.0,40.0,37,21,15,13,14,17,16,16,25,33
novo mesto,30.0,36.0,37,19,24,15,14,17,16,31,26,43
velenje,20.0,26.0,25,18,16,13,14,18,16,24,21,26
lj gospodarsko,28.0,31.0,31,20,18,14,15,18,19,29,21,49
ng grčna,34.0,25.0,26,24,20,17,16,18,19,25,21,31
ce mariborska,35.0,45.0,44,25,21,18,17,21,21,35,34,57
mb vrbanski,21.0,28.0,29,18,19,17,16,18,12,24,25,29
ms cankarjeva,40.0,44.0,44,25,19,14,15,17,18,33,34,56
pesje,15.0,20.0,24,19,18,16,16,20,17,23,18,16
škale,14.0,20.0,23,18,16,14,15,18,15,22,17,17
šoštanj,21.0,27.0,29,18,17,16,17,19,17,27,23,27
morsko,23.0,15.0,21,17,15,12,13,12,9,18,12,17
gorenje polje,26.0,16.0,22,18,16,14,14,12,11,21,13,19
lj center,37.0,41.0,42,38,29,25,25,28,25,41,31,62
ce gaji,35.0,37.0,39,21,19,14,13,19,28,33,29,59
miklavž,30.0,42.0,36,20,20,18,19,20,17,32,31,54
ptuj,22.0,35.0,33,20,19,17,18,19,15,30,29,38
medvode,,,28,22,19,18,19,21,6,19,20,36
ruše,25.0,31.0,32,18,17,14,15,16,11,22,30,33
