Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ce bolnica,59.0,24.0,17.0,21.0,11.0,10.0,10.0,13.0,14.0,14.0,30.0,29.0
ce mariborska,66.0,28.0,24.0,26.0,15.0,14.0,14.0,18.0,19.0,19.0,35.0,32.0
hrastnik,37.0,19.0,19.0,20.0,13.0,12.0,13.0,15.0,14.0,15.0,24.0,21.0
iskrba,9.0,6.0,8.0,14.0,9.0,,,,10.0,9.0,9.0,6.0
koper,33.0,28.0,17.0,18.0,13.0,11.0,13.0,16.0,15.0,15.0,22.0,22.0
kranj,38.0,21.0,16.0,18.0,11.0,10.0,11.0,14.0,14.0,15.0,27.0,25.0
lj bežigrad,53.0,23.0,18.0,21.0,13.0,12.0,15.0,17.0,18.0,16.0,28.0,25.0
lj biotehniška,45.0,20.0,16.0,19.0,11.0,10.0,13.0,15.0,14.0,14.0,23.0,23.0
lj celovška,,26.0,19.0,22.0,14.0,13.0,14.0,17.0,18.0,18.0,28.0,26.0
lj gospodarsko,56.0,,,,,,,,,,,
mb titova,49.0,21.0,19.0,21.0,15.0,14.0,15.0,19.0,20.0,18.0,25.0,22.0
mb vrbanski,35.0,15.0,14.0,17.0,10.0,11.0,10.0,13.0,15.0,13.0,20.0,18.0
ms cankarjeva,53.0,26.0,21.0,22.0,12.0,13.0,14.0,17.0,19.0,22.0,35.0,29.0
ms rakičan,45.0,21.0,18.0,21.0,11.0,13.0,13.0,16.0,18.0,16.0,27.0,24.0
ng grčna,38.0,34.0,17.0,18.0,12.0,11.0,13.0,14.0,14.0,16.0,24.0,23.0
ng vojkova,40.0,38.0,20.0,21.0,14.0,14.0,15.0,17.0,17.0,19.0,25.0,24.0
novo mesto,46.0,20.0,18.0,20.0,11.0,10.0,11.0,14.0,14.0,14.0,24.0,23.0
ptuj,45.0,18.0,18.0,20.0,11.0,11.0,11.0,14.0,14.0,14.0,28.0,29.0
trbovlje,49.0,24.0,21.0,23.0,11.0,11.0,12.0,13.0,14.0,16.0,30.0,26.0
velenje,31.0,16.0,14.0,18.0,10.0,11.0,12.0,14.0,14.0,12.0,20.0,18.0
zagorje,56.0,25.0,22.0,23.0,13.0,13.0,15.0,17.0,15.0,18.0,36.0,26.0
žerjav,41.0,23.0,21.0,25.0,16.0,14.0,16.0,17.0,19.0,20.0,27.0,24.0
pesje,19.0,13.0,22.0,20.0,12.0,11.0,12.0,14.0,15.0,12.0,16.0,16.0
škale,20.0,12.0,21.0,18.0,14.0,14.0,15.0,18.0,16.0,11.0,16.0,16.0
šoštanj,29.0,17.0,22.0,21.0,12.0,11.0,13.0,14.0,15.0,14.0,24.0,22.0
lj center,64.0,32.0,35.0,32.0,20.0,18.0,19.0,23.0,23.0,23.0,39.0,34.0
medvode,26.0,11.0,4.0,4.0,4.0,12.0,13.0,17.0,16.0,18.0,31.0,30.0
ce gaji,45.0,20.0,26.0,20.0,13.0,13.0,16.0,18.0,13.0,17.0,26.0,29.0
mb tezno,42.0,21.0,26.0,21.0,12.0,12.0,14.0,15.0,15.0,18.0,29.0,24.0
miklavž,54.0,22.0,29.0,24.0,12.0,12.0,15.0,15.0,16.0,17.0,29.0,25.0
spuhlja,56.0,25.0,33.0,25.0,13.0,15.0,16.0,16.0,16.0,19.0,34.0,29.0
ruše,41.0,17.0,21.0,18.0,12.0,11.0,12.0,13.0,11.0,13.0,21.0,27.0
grosuplje,59.0,31.0,37.0,27.0,18.0,23.0,21.0,19.0,17.0,20.0,31.0,27.0
morsko,24.0,26.0,21.0,17.0,9.0,10.0,12.0,12.0,11.0,12.0,17.0,14.0
gorenje polje,29.0,30.0,23.0,19.0,10.0,11.0,13.0,13.0,14.0,14.0,19.0,15.0
