Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ljubljana bežigrad,39,39,29.0,21,14,13,17,16,12,20,22,48
maribor center,51,40,34.0,32,20,22,28,24,20,28,24,40
celje,51,49,35.0,28,16,15,19,19,17,24,27,53
ms rakičan,54,44,32.0,27,15,16,19,19,15,25,29,44
nova gorica,32,25,20.0,21,15,16,17,16,15,23,18,40
trbovlje,47,48,37.0,29,17,17,20,20,20,25,30,55
zagorje,46,46,37.0,27,18,16,19,17,17,24,27,58
hrastnik,33,35,27.0,24,15,15,18,18,15,21,21,39
koper,28,19,20.0,22,15,15,19,18,15,22,13,34
iskrba,12,18,13.0,15,11,11,15,14,9,13,8,11
žerjav,49,55,27.0,23,15,15,18,19,13,19,21,39
lj biotehnična fak.,36,36,29.0,25,17,17,20,20,16,22,27,48
kranj,40,39,27.0,21,13,14,20,17,14,22,22,45
novo mesto,49,51,34.0,25,15,13,15,16,13,23,25,51
velenje,31,29,24.0,25,13,14,18,18,14,20,17,28
vrbanski plato,33,28,22.0,22,13,14,18,19,12,19,14,30
šoštanj,12,19,15.0,14,7,9,11,10,7,11,11,20
pesje,29,22,,25,17,19,24,23,17,22,17,26
škale,15,10,26.0,20,16,16,20,19,14,20,14,20
kovk,16,16,12.0,16,15,15,16,16,10,12,7,15
dobovec,10,16,10.0,13,13,9,14,14,9,12,6,10
prapretno,26,28,20.0,24,17,19,23,25,17,20,18,25
lj center,50,51,48.0,37,32,30,36,33,31,40,34,65
vnajnarje,17,17,16.0,20,16,22,39,30,32,30,28,28
zelena trava,18,21,15.0,19,16,10,18,19,32,16,12,21
amp gaji,44,53,30.0,25,15,13,17,23,20,28,26,46
