Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
lj bežigrad,41,38,31,19,16,19,19,23,17,24,41,47
maribor,42,42,35,20,20,21,21,23,16,26,33,41
celje,51,47,39,18,15,18,20,22,18,30,48,63
ms rakičan,40,41,33,17,14,17,18,24,13,26,48,48
nova gorica,36,28,24,18,14,16,20,19,16,14,33,46
trbovlje,42,46,38,22,15,18,21,21,15,25,40,45
zagorje,46,49,41,22,17,19,20,22,16,26,47,56
hrastnik,32,35,30,17,14,17,19,21,15,21,31,39
koper,27,21,23,20,15,16,21,22,16,13,36,50
iskrba,9,13,15,9,10,14,16,17,13,11,12,12
žerjav,30,32,31,18,18,30,22,20,17,21,26,39
lj biotehniška,39,38,29,18,18,19,21,23,17,22,38,46
kranj,40,37,34,17,16,17,19,21,16,23,35,46
novo mesto,50,48,34,16,13,18,19,22,16,24,39,44
velenje,24,29,32,16,13,17,18,20,14,19,29,30
mb vrbanski,29,21,24,17,13,14,15,12,14,20,26,19
vnajnarje,27,22,28,21,17,18,18,15,18,14,14,10
pesje,27,22,31,22,16,21,20,19,20,29,28,19
škale,22,19,23,18,14,15,13,12,14,18,19,14
šoštanj,17,13,17,10,7,10,10,10,12,16,18,17
prapretno,22,20,28,21,16,18,17,14,17,21,23,17
kovk,13,12,21,14,8,12,10,10,11,14,13,7
dobovec,7,8,18,14,9,11,9,7,10,12,11,6
lj center,54,51,51,34,26,28,30,27,31,37,44,45
amp gaji,36,45,43,25,18,21,20,19,20,30,37,37
zelena trava,16,16,23,15,10,13,12,11,11,17,20,13
