Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,8.0,9.0,6.0,5.0,4.0,3,4,4,3,3,4,7
Celje,9.0,9.0,5.0,7.0,6.0,7,4,4,2,4,7,9
Trbovlje,5.0,11.0,8.0,4.0,3.0,2,2,3,4,4,6,5
Zagorje,8.0,5.0,3.0,4.0,3.0,3,3,3,3,1,1,2
Hrastnik,9.0,6.0,6.0,4.0,4.0,4,5,5,6,5,5,5
Iskrba,1.6,0.9,0.3,0.2,0.2,0.4,0.4,0.3,0.2,0.1,0.2,0.1
Vnajnarje,9.0,7.0,7.0,8.0,6.0,2,5,4,6,7,6,5
Šoštanj,2.0,4.0,4.0,5.0,5.0,3,3,4,1,3,3,2
Topolšica,3.0,3.0,5.0,4.0,7.0,5,7,5,4,5,6,6
Zavodnje,3.0,2.0,5.0,6.0,3.0,3,2,3,2,3,4,3
Veliki vrh,4.0,2.0,5.0,6.0,4.0,6,4,4,3,5,4,6
Graška gora,6.0,8.0,6.0,8.0,8.0,7,8,9,6,5,5,6
Velenje,3.0,4.0,5.0,6.0,3.0,6,4,5,5,4,4,4
Pesje,9.0,7.0,8.0,8.0,6.0,6,6,8,8,7,6,5
Škale,10.0,8.0,5.0,9.0,7.0,8,6,8,6,7,8,9
Kovk,11.0,9.0,9.0,11.0,12.0,/,/,/,/,/,/,/
Dobovec,14.0,10.0,13.0,11.0,12.0,/,/,/,/,/,/,/
Kum,6.0,7.0,6.0,6.0,5.0,/,/,/,/,/,/,/
Ravenska vas,7.0,9.0,9.0,8.0,8.0,/,/,/,/,/,/,/
Sv. Mohor,6.0,5.0,3.0,4.0,4.0,4,5,4,3,3,3,2
Lj Center,1.0,2.0,3.0,2.0,3.0,0,1,1,1,2,1,2
CE Gaji,7.0,6.0,4.0,4.0,4.0,2,2,3,4,6,9,11
