Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ljubljana b.,13,8,7,6,5,3,3,2,5,3,5,4
maribor,16,11,7,4,5,6,6,4,3,5,6,6
celje,13,8,9,7,8,8,4,2,5,11,6,7
trbovlje,17,11,12,7,4,5,6,6,7,9,10,10
hrastnik,15,10,9,4,4,5,4,2,1,3,3,7
zagorje,10,8,7,6,7,5,6,2,5,4,5,7
murska s.-rakičan,7,9,9,6,6,8,9,4,7,8,6,4
nova gorica,11,7,4,2,2,2,2,1,3,3,6,5
oms lj. (vnajnarje),11,7,5,3,3,3,3,2,4,4,6,5
eis celje,4,3,2,0,0,0,0,0,0,0,1,2
eis krško,17,37,20,41,20,37,50,32,2,2,2,2
šoštanj,6,10,10,4,7,9,7,10,8,10,7,14
topolšica,7,6,4,2,3,4,6,2,5,3,3,2
veliki vrh,36,32,22,5,13,21,24,15,17,16,21,19
zavodnje,15,14,9,2,3,9,8,3,10,6,9,4
velenje,8,6,6,6,5,4,5,4,4,3,4,5
graška gora,9,9,8,4,3,4,4,4,3,5,10,4
pesje,9,7,5,3,2,3,3,2,3,3,5,3
škale,5,5,4,2,2,2,2,2,1,2,6,2
kovk,9,5,14,7,13,16,9,4,7,20,18,16
dobovec,8,4,2,3,6,12,5,2,7,6,5,7
kum,1,4,7,1,5,3,7,6,2,2,8,6
ravenska vas,27,10,7,13,16,18,20,15,17,15,16,23
eis teb,29,8,12,16,10,13,5,8,11,13,13,8
