Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,5.0,7.0,4.0,3.0,2.0,2,1,1,2,2,3,4
CE bolnica,5.0,3.0,2.0,2.0,2.0,3,3,2,2,3,3,3
Trbovlje,5.0,4.0,4.0,4.0,4.0,2,1,1,1,2,1,2
Zagorje,5.0,3.0,2.0,3.0,4.0,4,1,2,3,3,2,3
Iskrba,0.2,0.7,0.8,1.4,1.0,/,/,/,/,/,/,/
Šoštanj,2.0,3.0,2.0,3.0,3.0,3,2,3,3,2,2,2
Topolšica,3.0,3.0,3.0,4.0,1.0,1,1,3,2,1,2,3
Zavodnje,3.0,2.0,1.0,1.0,1.0,2,3,5,3,3,5,4
Veliki vrh,2.0,1.0,2.0,1.0,1.0,1,3,2,3,3,4,3
Graška gora,6.0,4.0,4.0,3.0,1.0,1,2,3,2,4,2,3
Velenje,3.0,3.0,3.0,4.0,3.0,4,4,4,3,4,3,3
Pesje,2.0,3.0,3.0,5.0,1.0,3,3,2,4,3,3,4
Škale,2.0,2.0,3.0,2.0,2.0,1,2,3,2,2,3,3
Sv. Mohor,5.0,5.0,7.0,7.0,7.0,10,9,8,10,9,6,6
Lj Center,3.0,3.0,4.0,5.0,7.0,7,5,4,4,3,3,2
CE Gaji,9.0,10.0,13.0,16.0,14.0,13,16,15,5,4,6,2
