Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
lj bežigrad,6,5,5,2,2,2,2,1,4,6,5,6
celje,7,9,11,6,8,8,9,5,4,4,3,6
trbovlje,4,4,6,4,5,6,3,4,4,3,4,3
zagorje,3,3,4,4,4,4,4,5,8,6,4,5
hrastnik,3,4,4,4,4,1,1,2,3,5,5,6
iskrba,/,/,1,1,1,1,0,1,2,1,1,2
vnajnarje,8,12,/,/,/,/,/,/,/,/,/,/
šoštanj,3,7,2,2,3,3,2,3,3,2,2,1
topolšica,6,3,2,3,6,3,3,5,4,3,4,2
zavodnje,3,3,6,3,4,3,1,4,5,5,3,2
veliki vrh,5,11,5,2,10,14,9,7,3,9,3,3
graška gora,5,6,8,6,3,4,5,5,3,6,3,4
velenje,5,4,5,4,4,5,6,4,4,5,4,3
pesje,6,9,10,10,8,9,1,3,2,4,3,2
škale,10,10,10,8,3,3,2,2,3,6,3,4
sv. mohor,3,4,5,4,5,6,5,5,6,6,6,6
lj center,2,1,0,1,1,0,1,1,2,2,2,1
ce gaji,10,9,8,5,4,6,6,9,5,3,3,5
