Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ljubljana bežigrad,4,5,3,2,3,4,2,3,3,4,4,4
celje,8,4,4,2,2,2,1,1,4,6,3,4
trbovlje,6,5,3,3,3,3,3,3,3,3,5,8
zagorje,6,5,8,5,4,4,4,5,7,5,6,5
hrastnik,4,6,4,3,4,3,3,2,3,3,4,3
vnajnarje,9,3,6,7,7,6,6,4,6,5,4,5
šoštanj,5,3,8,5,3,2,4,3,3,8,7,4
topolšica,6,0,3,3,1,4,4,2,0,5,1,2
zavodnje,3,2,5,2,2,3,2,6,4,4,4,3
veliki vrh,7,5,6,5,4,2,5,3,5,2,3,4
graška gora,3,5,3,2,3,4,1,1,2,2,3,2
velenje,3,1,2,5,1,2,2,3,4,4,3,7
pesje,5,5,6,5,4,4,3,5,5,5,6,8
škale,3,5,5,7,8,7,5,9,8,10,5,4
kovk,10,11,6,5,8,7,8,2,6,5,7,6
dobovec,8,3,3,7,6,9,9,8,6,7,6,5
kum,7,3,3,4,3,2,5,2,2,4,6,3
ravenska vas,8,7,6,10,3,4,9,9,7,7,10,4
sv. mohor,4,5,5,6,4,5,4,4,5,4,5,4
lj center,3,1,2,3,4,1,1,1,3,3,3,2
amp gaji,6,6,6,6,6,6,5,3,3,4,6,5
zelena trava,9,9,2,1,3,3,2,3,6,2,3,1
