Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
lj bežigrad,5.0,7.0,4.0,3.0,2.0,2,1,1,2,2,3,4
ce bolnica,5.0,3.0,2.0,2.0,2.0,3,3,2,2,3,3,3
trbovlje,5.0,4.0,4.0,4.0,4.0,2,1,1,1,2,1,2
zagorje,5.0,3.0,2.0,3.0,4.0,4,1,2,3,3,2,3
iskrba,0.2,0.7,0.8,1.4,1.0,/,/,/,/,/,/,/
šoštanj,2.0,3.0,2.0,3.0,3.0,3,2,3,3,2,2,2
topolšica,3.0,3.0,3.0,4.0,1.0,1,1,3,2,1,2,3
zavodnje,3.0,2.0,1.0,1.0,1.0,2,3,5,3,3,5,4
veliki vrh,2.0,1.0,2.0,1.0,1.0,1,3,2,3,3,4,3
graška gora,6.0,4.0,4.0,3.0,1.0,1,2,3,2,4,2,3
velenje,3.0,3.0,3.0,4.0,3.0,4,4,4,3,4,3,3
pesje,2.0,3.0,3.0,5.0,1.0,3,3,2,4,3,3,4
škale,2.0,2.0,3.0,2.0,2.0,1,2,3,2,2,3,3
sv. mohor,5.0,5.0,7.0,7.0,7.0,10,9,8,10,9,6,6
lj center,3.0,3.0,4.0,5.0,7.0,7,5,4,4,3,3,2
ce gaji,9.0,10.0,13.0,16.0,14.0,13,16,15,5,4,6,2
