Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ce bolnica,4,3,4,4,2,1,2,2,2,3,4,3
zagorje,2,3,3,1,2,3,1,1,1,2,3,3
iskrba,1,1,2,2,1,1,1,1,1,2,2,1
šoštanj,4,4,2,3,1,1,2,1,2,1,4,4
topolšica,2,2,3,3,3,5,3,4,5,3,3,3
zavodnje,6,5,5,1,3,2,2,2,4,4,4,5
veliki vrh,4,3,4,4,6,4,1,2,3,3,3,3
graška gora,3,4,5,5,6,5,3,4,5,5,3,3
velenje,3,5,6,4,4,5,3,4,5,5,5,6
pesje,3,4,6,5,7,6,4,6,6,5,4,3
škale,5,6,5,3,3,5,2,2,3,3,4,4
mobilna teš,5,6,7,6,6,4,4,6,3,4,6,4
sv. mohor,3,3,2,1,1,2,3,2,2,2,2,3
lj center,2,0,2,5,7,5,1,0,0,2,1,1
zadobrova,4,4,4,0,1,3,4,5,4,2,2,3
ce gaji,2,3,2,1,1,1,2,2,2,3,3,4
