Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
lj bežigrad,8.0,9.0,6.0,5.0,4.0,3,4,4,3,3,4,7
celje,9.0,9.0,5.0,7.0,6.0,7,4,4,2,4,7,9
trbovlje,5.0,11.0,8.0,4.0,3.0,2,2,3,4,4,6,5
zagorje,8.0,5.0,3.0,4.0,3.0,3,3,3,3,1,1,2
hrastnik,9.0,6.0,6.0,4.0,4.0,4,5,5,6,5,5,5
iskrba,1.6,0.9,0.3,0.2,0.2,0.4,0.4,0.3,0.2,0.1,0.2,0.1
vnajnarje,9.0,7.0,7.0,8.0,6.0,2,5,4,6,7,6,5
šoštanj,2.0,4.0,4.0,5.0,5.0,3,3,4,1,3,3,2
topolšica,3.0,3.0,5.0,4.0,7.0,5,7,5,4,5,6,6
zavodnje,3.0,2.0,5.0,6.0,3.0,3,2,3,2,3,4,3
veliki vrh,4.0,2.0,5.0,6.0,4.0,6,4,4,3,5,4,6
graška gora,6.0,8.0,6.0,8.0,8.0,7,8,9,6,5,5,6
velenje,3.0,4.0,5.0,6.0,3.0,6,4,5,5,4,4,4
pesje,9.0,7.0,8.0,8.0,6.0,6,6,8,8,7,6,5
škale,10.0,8.0,5.0,9.0,7.0,8,6,8,6,7,8,9
kovk,11.0,9.0,9.0,11.0,12.0,/,/,/,/,/,/,/
dobovec,14.0,10.0,13.0,11.0,12.0,/,/,/,/,/,/,/
kum,6.0,7.0,6.0,6.0,5.0,/,/,/,/,/,/,/
ravenska vas,7.0,9.0,9.0,8.0,8.0,/,/,/,/,/,/,/
sv. mohor,6.0,5.0,3.0,4.0,4.0,4,5,4,3,3,3,2
lj center,1.0,2.0,3.0,2.0,3.0,0,1,1,1,2,1,2
ce gaji,7.0,6.0,4.0,4.0,4.0,2,2,3,4,6,9,11
