Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ljubljana bežigrad,5,10,8,6,6,6,9,5,3,3,5,2
ljubljana center,4,6,5,5,4,3,3,4,3,3,2,1
maribor center,7,7,4,4,4,2,6,2,2,5,5,2
celje,10,14,7,5,5,3,9,5,5,6,7,10
trbovlje,10,15,11,5,3,3,3,4,3,11,0,2
hrastnik,6,9,7,5,4,4,6,4,4,4,4,5
zagorje,4,8,4,2,2,2,2,2,2,1,1,2
iskrba,5,10,8,6,6,6,9,5,3,3,5,2
zelena trava,1,7,7,2,6,11,11,4,2,2,2,3
vnajnarje,0,7,7,4,2,0,4,3,2,3,2,4
šoštanj,7,8,10,11,10,10,6,9,9,2,3,2
topolšica,2,2,4,2,2,5,2,5,2,2,2,2
veliki vrh,6,9,11,6,6,7,9,4,9,7,4,8
zavodnje,4,4,3,4,2,6,5,3,2,6,4,4
velenje,3,3,3,6,2,3,2,4,4,4,7,2
graška gora,4,5,2,2,0,1,2,4,2,1,2,2
pesje,6,8,8,3,5,2,3,3,3,4,4,3
škale,9,5,5,9,7,6,7,8,8,8,9,9
kovk,8,12,10,12,8,8,8,8,13,9,8,11
dobovec,9,10,6,6,4,6,7,5,9,7,6,3
kum,10,11,11,5,8,5,7,2,2,5,4,2
ravenska vas,10,16,12,5,4,5,13,11,11,6,11,6
brestanica-sv.mohor,5,7,4,3,2,3,4,3,2,3,5,5
