Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ljubljana b.,4,4,2,2,1,1,1,1,1,2,2,2
ljubljana center,6,7,7,6,5,6,5,5,4,3,3,5
celje,12,11,9,6,5,4,4,2,4,6,6,7
trbovlje,3,2,2,5,6,1,1,1,2,2,4,10
hrastnik,9,9,6,1,1,2,1,2,6,4,5,8
zagorje,16,12,6,4,8,8,5,4,7,7,6,9
iskrba,3.9,2.5,1,0.6,0.6,1.3,0.8,1.1,0.9,0.9,0.6,/
vnajnarje,6,5,4,3,2,2,1,2,2,3,2,3
šoštanj,5,7,7,8,9,3,5,8,6,7,9,9
topolšica,2,3,2,2,2,4,2,5,2,2,4,4
veliki vrh,8,7,6,6,4,7,7,9,4,3,3,2
zavodnje,9,7,4,5,9,7,5,9,4,4,2,4
velenje,3,4,1,1,2,4,2,2,1,1,3,3
graška gora,2,2,3,1,3,1,1,1,1,1,1,3
pesje,7,6,5,4,5,5,7,10,6,11,6,3
škale,3,5,2,1,2,5,6,8,3,4,4,7
kovk,9,14,11,5,3,5,7,12,6,6,8,10
dobovec,10,5,3,2,1,1,2,8,23,11,4,5
kum,9,9,12,20,13,7,7,5,4,3,3,2
ravenska vas,15,15,13,8,6,5,7,10,6,7,6,7
brestanica-sv.mohor,10,18,19,15,21,14,10,15,14,8,11,19
