Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,51,33,28,22,21,19,17,17,27,28,35,53
Maribor,29,35,29,21,20,/,19,20,17,18,32,48
Celje,43,29,27,21,18,13,11,11,13,13,20,39
MS Rakičan,20,14,7,9,8,8,6,11,14,15,13,20
Nova Gorica,34,25,20,16,13,12,19,17,23,26,35,55
Trbovlje,29,21,19,16,14,12,11,12,15,18,22,33
Zagorje,36,29,28,23,21,17,15,14,21,23,29,37
Koper,31,23,16,13,10,11,12,9,7,12,15,21
Iskrba,3,2,3,1,1,1,1,1,1,2,2,3
Vnajnarje,14,8,9,7,6,6,6,5,9,11,13,20
Zavodnje,8,4,5,4,3,3,4,4,5,6,6,14
Škale,21,11,10,7,5,4,5,4,6,6,9,17
Kovk,14,8,8,5,5,4,3,3,4,7,9,3
Dobovec,3,2,2,1,1,0,0,0,1,1,1,1
Sv. Mohor,15,7,5,2,2,2,4,3,5,6,9,18
LJ Center,40,34,35,30,34,25,25,22,27,23,28,55
AMP Gaji,28,13,14,12,11,8,7,6,8,17,24,37
Zelena trava,28,13,12,6,7,/,/,/,/,/,/,/
