Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,30,25,27,18,14,15,14,15,21,25,28,40
LJ Celovška,37,33,37,26,22,24,23,25,31,33,36,50
MB Titova,31,34,31,23,21,25,24,20,28,26,28,29
MB Vrbanski,11,12,8,4,5,5,5,5,6,9,13,17
CE bolnica,29,27,26,18,12,13,14,13,21,22,24,30
MS Rakičan,15,14,11,8,6,7,6,5,7,9,14,19
NG Grčna,28,29,27,18,14,15,16,16,25,27,29,37
Deskle,12,12,11,9,8,7,9,7,8,9,8,11
Trbovlje,24,19,22,15,11,/,/,/,/,/,/,/
Zagorje,26,24,24,17,14,14,13,14,18,17,20,23
Novo mesto,17,16,14,10,7,8,7,7,10,12,14,17
Koper,21,25,18,13,9,13,10,11,12,12,16,24
Iskrba,2,2,2,1,1,1,1,1,1,1,2,2
Šoštanj,13,14,11,7,6,6,8,6,9,19,14,17
Zavodnje,4,6,5,4,2,2,2,3,3,4,7,6
Škale,9,9,8,5,4,4,5,4,5,7,11,12
Mobilna TEŠ,14,15,13,9,6,7,6,6,10,9,14,19
Sv. Mohor,8,7,6,4,2,2,2,3,5,7,9,12
LJ Center,45,34,39,27,23,24,32,32,39,29,26,44
Zadobrova,29,21,21,14,11,12,13,11,13,16,17,23
CE Gaji,24,22,21,13,12,11,10,9,15,10,17,24
MB Tezno,28,31,27,18,13,14,13,12,19,19,25,35
