Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,102,130,130,107,61,59,50,50,60,70,72,96
Maribor,100,113,117,91,69,62,60,62,75,65,82,106
Celje,106,118,106,82,65,68,54,66,69,90,74,86
MS Rakičan,70,80,67,57,33,24,23,33,38,62,47,64
Nova Gorica,110,124,132,120,71,88,70,88,90,84,68,97
Trbovlje,60,108,95,96,52,47,32,39,41,47,61,59
Zagorje,68,89,81,59,45,41,40,37,43,58,54,63
Koper,73,72,101,78,67,53,55,49,57,46,38,71
Iskrba,12,8,6,7,6,6,7,4,12,8,7,10
Šoštanj,48,51,46,31,26,38,40,27,35,35,36,48
Zavodnje,49,29,18,22,15,18,31,43,44,34,18,44
Škale,34,32,23,26,12,12,22,19,14,28,27,38
Sv. Mohor,32,29,34,19,20,14,16,12,22,30,55,55
LJ Center,110,151,124,125,79,105,96,105,114,106,/,124
CE Gaji,79,100,59,56,32,27,28,37,39,47,46,56
MB Vrbanski,87,82,105,73,57,49,50,29,39,66,88,84
