Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,37,33,26,27,20,16,22,23,27,39,42,36
Maribor,42,48,38,34,27,28,26,25,28,34,35,38
Celje,34,36,25,26,18,14,15,13,16,19,18,18
Trbovlje,27,27,24,21,16,21,20,18,20,26,31,26
Murska S.-Rakičan,26,24,17,15,11,10,11,10,10,15,23,22
Nova Gorica,33,41,28,29,24,24,20,22,25,35,37,39
Koper,34,39,23,20,16,14,14,14,13,19,23,24
Vnajnarje,9,9,6,3,3,2,1,3,3,4,7,7
Zavodnje,4,7,2,0,1,2,4,1,4,2,6,4
Škale,18,18,11,6,6,5,5,4,2,1,0,24
Kovk,20,17,12,11,10,7,10,11,7,12,15,11
EIS TEB (Sv.Mohor),7,3,2,1,1,3,7,7,5,4,2,8
