Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,41,11,12,5,5,7,4,4,6,5,14,11
Maribor,24,16,12,9,9,11,7,3,14,5,16,10
Celje,35,26,14,8,11,9,8,9,8,10,11,16
Trbovlje,39,17,18,29,20,34,23,13,22,43,31,25
Hrastnik,44,18,24,14,9,10,15,9,11,14,22,19
Zagorje,39,47,30,14,8,29,10,6,5,10,7,17
Murska S.-Rakičan,20,16,13,9,9,7,8,8,9,7,10,15
Nova Gorica,18,18,16,18,12,24,17,9,12,12,12,10
oms lj. (vnajnarje),42,26,9,6,6,10,12,7,8,23,14,15
EIS Celje,13,12,12,1,1,1,1,1,1,2,4,20
EIS Krško,43,280,74,194,120,110,143,123,6,9,8,6
Šoštanj,26,45,42,27,50,46,26,75,51,57,30,308
Topolšica,28,22,17,8,12,14,29,9,28,13,13,4
Veliki Vrh,71,106,59,14,43,72,78,50,54,65,52,90
Zavodnje,56,85,77,14,10,36,29,11,33,43,48,21
Velenje,24,18,13,12,8,9,10,11,10,22,16,15
Graška Gora,47,25,30,13,14,30,17,22,15,25,55,24
Pesje,32,22,12,5,5,7,14,7,9,7,13,5
Škale,24,11,20,11,13,9,8,7,9,15,41,9
Kovk,38,19,69,21,25,88,37,9,30,37,51,37
Dobovec,42,14,9,13,26,196,16,4,22,17,25,15
Kum,0,15,13,5,9,10,30,9,9,7,19,21
Ravenska vas,69,120,23,21,30,39,69,49,43,34,41,56
eis teb (sv.mohor),90,18,44,19,10,23,17,21,15,18,26,17
