Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,15,25,13,9,8,9,15,10,5,7,9,8
Ljubljana center,9,20,8,7,5,6,7,6,5,5,3,4
Maribor center,10,27,6,5,5,4,7,3,4,8,8,5
Celje,15,34,12,11,11,7,11,8,8,11,10,17
Trbovlje,19,35,19,8,6,6,4,7,6,22,0,3
Hrastnik,11,27,11,8,6,6,9,11,11,7,11,16
Zagorje,14,26,9,6,9,5,8,5,7,7,4,5
Zelena trava,7,28,16,10,13,25,19,15,9,6,4,5
Vnajnarje,4,16,15,12,9,1,11,9,8,9,6,13
Šoštanj,16,19,44,31,28,25,27,20,23,7,12,14
Topolšica,4,11,11,4,8,9,5,12,7,9,6,5
Veliki Vrh,16,24,51,15,24,13,25,13,40,23,11,43
Zavodnje,13,16,14,13,11,16,11,8,17,18,8,14
Velenje,8,11,9,12,4,6,5,7,9,7,13,9
Graška Gora,10,15,9,13,2,2,3,6,5,4,4,9
Pesje,13,24,18,7,7,8,5,7,9,10,8,7
Škale,19,17,12,15,10,18,19,29,12,15,15,15
Kovk,18,32,18,49,17,30,41,12,41,18,52,42
Dobovec,25,36,31,30,15,21,21,10,28,14,20,15
Kum,20,30,19,9,16,11,12,7,11,25,11,10
Ravenska vas,21,36,21,12,16,24,38,23,29,14,17,16
Brestanica-sv.Mohor,11,28,11,6,5,6,5,4,6,4,15,7
