Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,8,9,15,3,4,3,3,3,6,9,10,8
Celje,11,14,20,10,12,12,11,8,7,7,10,8
Trbovlje,8,6,12,6,6,8,4,5,7,7,10,5
Zagorje,4,5,9,5,8,5,4,6,12,9,7,6
Hrastnik,5,7,11,5,5,1,2,4,7,7,7,9
Iskrba,/,/,7,4,2,3,2,2,3,3,4,3
Vnajnarje,13,15,/,/,/,/,/,/,/,/,/,/
Šoštanj,4,19,8,5,7,6,3,3,4,4,3,2
Topolšica,12,5,8,5,11,7,5,12,13,5,6,3
Zavodnje,4,6,11,6,9,7,6,10,13,43,15,12
Veliki vrh,9,28,13,5,26,33,12,23,8,23,10,9
Graška gora,11,11,17,11,6,7,7,11,7,16,23,19
Velenje,7,7,9,6,10,6,10,7,7,10,7,7
Pesje,9,13,20,15,13,13,9,6,7,7,5,3
Škale,15,14,21,10,10,7,4,5,6,9,7,7
Sv. Mohor,5,9,14,7,11,6,10,6,13,11,9,7
LJ Center,3,2,1,3,2,0,1,3,3,3,3,2
CE Gaji,12,13,14,12,8,11,9,11,10,7,7,7
