Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,6,7,8,6,5,7,5,6,5,7,14,11
Celje,6,8,4,3,5,4,2,3,3,5,9,8
Trbovlje,6,7,10,11,10,7,6,6,6,9,16,9
Zagorje,9,6,7,7,8,2,2,4,3,6,5,5
Hrastnik,5,7,9,5,7,6,4,6,3,5,10,12
Vnajnarje,7,7,10,3,3,15,6,9,12,12,8,9
Šoštanj,21,6,9,11,16,4,18,6,6,33,8,5
Topolšica,12,8,9,9,14,11,8,17,10,8,10,3
Zavodnje,22,14,7,5,7,4,5,7,5,5,4,14
Veliki vrh,17,9,25,9,7,5,13,20,8,10,6,16
Graška gora,7,6,11,6,8,9,13,12,4,8,15,7
Velenje,10,5,5,6,4,4,5,10,4,14,5,3
Pesje,12,9,10,12,9,7,7,6,5,34,8,11
Škale,8,7,8,8,10,8,9,15,9,28,6,6
Kovk,11,15,11,8,10,10,10,14,11,11,12,4
Dobovec,10,9,11,12,8,10,15,17,8,9,15,5
Kum,11,11,9,13,12,8,8,11,24,16,7,6
Ravenska vas,12,18,12,14,15,15,15,19,15,12,15,12
Sv. Mohor,8,15,12,7,7,7,10,8,8,7,11,6
lj center,4,3,4,4,5,4,3,3,2,3,4,5
AMP Gaji,8,11,11,8,5,2,4,7,5,9,9,11
Zelena trava,8,12,12,10,11,12,10,7,6,7,4,3
