Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,10,12,16,3,3,2,5,3,4,4,19,7
Ljubljana center,12,11,14,7,9,5,7,5,6,4,6,6
Maribor center,8,17,19,3,6,2,3,4,6,6,9,6
Celje,10,17,22,5,10,8,7,7,7,8,14,16
Trbovlje,17,22,24,11,11,9,8,19,8,12,29,11
Hrastnik,8,14,19,7,8,6,8,8,8,7,39,9
Zagorje,15,37,21,11,8,9,7,36,37,14,16,3
Vnajnarje,14,19,18,8,11,5,8,7,9,6,28,5
Šoštanj,12,13,19,13,6,7,9,13,13,12,9,28
Topolšica,10,12,13,10,5,3,12,9,10,6,6,9
Veliki Vrh,35,42,36,30,21,22,21,28,10,14,23,16
Zavodnje,32,18,20,11,8,6,12,18,11,17,31,16
Velenje,9,12,15,3,5,5,3,12,12,4,5,6
Graška Gora,19,17,13,6,6,3,8,5,2,4,5,10
Pesje,13,14,19,10,9,8,9,12,9,11,11,15
Škale,24,20,19,6,7,12,14,11,16,10,12,15
Kovk,23,32,27,26,14,22,22,21,31,28,56,24
Dobovec,17,26,14,15,21,14,21,109,26,24,110,11
Kum,9,11,11,7,18,8,7,4,7,14,15,18
Ravenska vas,16,46,29,15,19,16,17,72,50,25,37,14
Brestanica-sv.Mohor,16,31,24,5,3,3,4,6,5,5,18,5
