Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,8,10,7,4,2,2,3,2,6,4,5,7
CE bolnica,9,7,5,5,3,5,6,7,5,6,7,5
Trbovlje,8,6,7,7,6,5,1,1,2,3,2,2
Zagorje,6,8,4,4,4,4,2,2,3,4,4,4
Iskrba,0.5,2.6,2.9,2.8,2.0,/,/,/,/,/,/,/
Šoštanj,5,8,4,5,6,7,6,14,6,6,5,8
Topolšica,7,8,5,6,3,4,2,17,4,2,5,6
Zavodnje,9,5,4,3,16,5,5,16,9,9,29,11
Veliki vrh,8,3,4,4,5,3,7,4,6,8,8,10
Graška gora,10,10,6,5,5,6,4,7,13,16,5,9
Velenje,6,6,6,8,5,8,7,6,7,6,5,9
Pesje,3,4,5,7,5,4,4,5,7,6,6,11
Škale,2,4,5,4,8,3,4,4,7,6,5,9
Sv. Mohor,7,6,10,10,9,11,14,9,11,12,10,9
LJ Center,4,4,5,6,8,8,6,6,7,9,4,4
CE Gaji,15,16,18,20,20,16,17,18,6,7,9,10
