Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
CE bolnica,7,6,6,7,4,4,4,4,4,8,9,7
Zagorje,3,4,4,3,2,4,2,2,1,3,6,7
Iskrba,2,2,3,7,3,4,6,2,2,5,5,3
Šoštanj,13,9,6,6,4,4,4,4,4,2,5,6
Topolšica,3,2,5,4,4,8,6,4,13,5,4,5
Zavodnje,17,9,11,3,4,8,5,4,6,7,7,11
Veliki vrh,11,7,7,5,8,9,2,3,4,6,5,7
Graška gora,8,5,13,7,8,8,5,5,6,8,4,4
Velenje,5,6,8,8,6,8,6,4,6,6,6,8
Pesje,5,5,8,8,9,11,8,8,9,8,8,6
Škale,6,6,14,6,4,8,6,3,4,5,5,6
Mobilna TEŠ,7,7,8,9,7,8,5,7,5,5,7,8
Sv. Mohor,3,6,6,4,2,7,8,3,4,4,4,4
LJ Center,6,2,5,6,7,7,2,1,1,4,2,3
Zadobrova,5,6,7,1,2,5,7,6,6,7,6,6
CE Gaji,8,5,5,3,3,5,4,4,5,5,4,6
