Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,12,14,13,11,15,9,9,7,5,7,14,21
Celje,15,9,10,8,10,6,6,9,8,12,11,10
Trbovlje,16,14,15,7,12,9,10,12,19,11,15,12
Zagorje,8,8,8,6,9,4,6,5,4,7,7,12
Hrastnik,11,10,10,6,7,7,9,10,11,9,10,10
Vnajnarje,10,5,11,1,5,4,4,8,6,7,12,9
Šoštanj,9,1,4,16,4,5,12,6,8,7,5,7
Topolšica,6,6,3,4,2,2,7,8,7,7,9,5
Zavodnje,8,1,1,15,4,4,6,11,8,4,6,14
Veliki vrh,8,6,5,11,9,3,12,7,23,12,5,8
Graška gora,7,5,5,7,6,10,12,11,7,11,16,13
Velenje,6,6,4,5,6,6,8,12,3,5,8,3
Pesje,15,10,12,8,7,8,9,14,7,8,10,9
Škale,9,6,8,8,7,6,7,9,9,13,14,12
Kovk,11,8,7,6,9,12,11,10,9,7,15,12
Dobovec,10,15,11,13,12,14,15,12,16,14,14,13
Kum,15,15,9,10,11,11,8,6,4,11,16,28
Ravenska vas,13,13,15,10,14,14,9,8,10,13,17,17
Sv. Mohor,9,10,5,5,1,2,12,8,6,8,8,17
LJ Center,3,2,2,2,2,2,2,6,5,2,3,5
AMP Gaji,12,6,5,7,8,6,4,6,5,5,9,12
