Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,37,42,42,29,24,22,18,18,24,23,31,35
Maribor,34,36,37,33,32,24,25,28,25,28,33,31
Celje,33,38,36,26,19,15,13,13,21,20,28,29
Trbovlje,27,29,30,31,26,27,25,22,25,24,22,30
Nova Gorica,33,31,26,26,20,20,18,20,20,20,31,37
Murska S.-Rakičan,14,18,10,8,10,9,8,9,10,10,13,13
Zavodnje,4,8,8,4,4,4,6,4,2,2,4,14
Škale,15,14,9,8,7,5,4,4,5,7,12,14
Kovk,22,5,11,12,13,8,8,14,6,14,12,31
Sv.Mohor,9,7,4,4,9,/,1,2,2,2,5,7
Vnajnarje,9,7,5,4,3,3,3,3,3,/,9,10
EIS Celje,50,48,50,38,31,/,22,21,/,/,37,/
