Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,47,40,37,23,21,20,19,20,23,36,36,43
Maribor,42,35,30,24,23,25,20,21,23,29,27,29
Celje,45,34,35,24,19,19,18,21,21,30,31,36
MS Rakičan,21,16,/,19,25,26,21,18,20,18,22,24
Nova Gorica,44,42,37,26,20,20,18,21,23,33,37,43
Trbovlje,28,23,23,16,13,13,12,14,18,26,29,32
Zagorje,37,33,31,24,20,20,18,18,19,26,27,26
Koper,13,22,23,15,15,16,16,15,11,18,20,27
Iskrba,3,2,2,1,1,1,1,1,1,1,3,3
Vnajnarje,14,16,21,16,16,20,15,14,16,17,17,20
Šoštanj,20,15,26,26,30,10,25,20,14,17,17,19
Zavodnje,13,11,8,5,4,4,3,5,3,6,7,8
Škale,13,16,11,8,3,5,5,7,7,3,9,11
Kovk,/,4,4,8,4,/,/,/,/,/,/,/
Dobovec,/,/,2,/,/,/,/,/,/,/,/,/
Sv. Mohor,14,10,6,3,2,4,5,4,4,6,9,12
LJ Center,65,58,60,45,45,45,43,46,41,50,46,59
CE Gaji,40,28,24,17,15,13,13,14,18,23,28,32
MB Vrbanski,27,24,15,10,8,8,7,7,9,13,17,17
