Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,32,40,37,27,16,18,19,16,24,29,27,31
Maribor,40,36,31,27,28,30,23,23,25,32,32,35
Celje,32,35,37,26,22,24,22,21,25,28,32,35
Murska Sobota-Rakičan,18,17,14,11,8,8,7,6,10,15,12,16
Nova Gorica,29,29,26,23,17,15,16,15,16,16,15,12
Trbovlje,20,22,21,17,12,14,14,11,14,18,21,21
Zagorje,28,30,29,21,13,12,15,12,16,19,20,24
Koper,26,15,19,18,14,14,14,11,16,13,19,25
Vrbanski plato,24,20,13,10,8,7,7,7,8,12,19,19
Vnajnarje,11,10,9,7,5,6,7,4,5,5,8,9
Zavodnje,14,5,9,5,4,5,5,6,5,8,8,11
Škale,13,11,7,5,5,5,3,5,4,9,10,11
Kovk,14,10,9,6,5,5,9,5,6,7,10,10
Dobovec,34,25,19,22,13,11,10,6,4,4,5,4
Sv. Mohor,12,9,9,5,4,6,6,5,6,6,10,11
LJ Center,38,48,47,40,34,35,33,34,40,42,40,45
AMP Gaji,26,30,29,21,17,17,14,15,20,23,24,35
Zelena trava,13,13,12,9,7,10,15,9,11,15,14,14
