Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,40,40,34.0,30.0,26.0,22.0,17.0,22.0,29.0,32.0,38.0,38.0
Ljubljana center,58,63,64.0,56.0,54.0,50.0,44.0,49.0,57.0,53.0,58.0,61.0
Maribor center,42,45,46.0,40.0,31.0,26.0,26.0,26.0,27.0,29.0,37.0,33.0
Maribor Vrbanski p.,21,15,16.0,9.0,7.0,6.0,6.0,5.0,7.0,12.0,23.0,19.0
Celje,32,35,34.0,27.0,22.0,17.0,16.0,17.0,24.0,19.0,25.0,31.0
Trbovlje,25,25,19.0,16.0,17.0,17.0,12.0,11.0,13.0,15.0,15.0,14.0
Murska S. Rakičan,20,22,19.0,14.0,12.0,8.0,10.0,12.0,12.0,17.0,22.0,20.0
Nova Gorica,35,39,31.0,27.0,20.0,19.0,16.0,19.0,28.0,28.0,36.0,36.0
Koper,32,35,25.0,24.0,16.0,14.0,13.0,16.0,16.0,16.0,25.0,28.0
Iskrba,/,/,2.6,2.6,2.1,1.2,1.4,1.0,1.5,1.9,4.0,3.4
Vnajnarje,13,6,4.0,4.0,1.0,3.0,4.0,3.0,5.0,9.0,18.0,13.0
Zavodnje,11,13,8.0,6.0,6.0,5.0,5.0,7.0,8.0,7.0,16.0,11.0
Škale,11,13,13.0,6.0,2.0,5.0,5.0,3.0,6.0,11.0,13.0,13.0
Kovk,15,19,18.0,9.0,8.0,11.0,10.0,6.0,6.0,9.0,14.0,9.0
Dobovec,6,8,6.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,8.0,7.0
Sv.Mohor,7,12,9.0,6.0,5.0,6.0,5.0,3.0,6.0,8.0,18.0,15.0
