Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,36,25,27,15,14,9,11,16,19,21,29,49
Ljubljana center,63,65,62,50,50,48,44,51,49,44,44,55
Maribor center,32,39,46,39,28,28,23,29,27,30,34,39
Maribor Vrbanski plato,19,21,16,12,8,9,7,7,9,14,18,22
Celje,35,42,38,20,18,17,17,22,23,24,29,37
Trbovlje,22,24,24,15,14,14,11,14,15,15,17,25
Zagorje,/,/,31,24,20,21,18,19,21,20,22,26
Murska Sobota Rakičan,19,24,19,17,15,12,14,17,19,20,20,26
Nova Gorica,35,25,29,19,19,21,18,22,24,25,30,41
Koper,27,22,25,13,15,13,14,15,12,12,20,33
Iskrba,3,4,2,1,1,1,2,2,1,2,2,3
Zelena trava,11,8,10,3,1,/,/,/,2,9,15,16
Vnajnarje,8,7,7,8,8,10,10,9,10,11,11,16
Zavodnje,9,7,9,6,7,7,6,8,7,11,8,10
Škale,10,9,5,5,5,6,4,7,4,9,11,13
Kovk,9,5,5,4,2,3,3,1,3,11,14,14
Dobovec,9,11,9,3,3,1,1,2,4,8,4,9
Sveti Mohor,11,12,8,4,4,5,5,6,6,7,9,14
