Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,42,31,28,15,12,12,11,12,18,24,24,26
LJ Celovška,49,36,38,25,23,22,20,21,26,28,29,31
MB Titova,35,34,34,24,22,22,20,20,26,25,23,27
MB Vrbanski,16,12,10,7,5,4,4,4,5,8,10,14
CE bolnica,34,29,34,18,16,15,15,14,16,19,21,24
MS Rakičan,17,12,13,7,6,4,5,5,6,10,12,15
NG Grčna,37,33,35,20,17,17,17,17,19,22,25,28
Zagorje,28,24,27,16,14,12,12,13,14,16,18,21
Novo mesto,18,16,15,10,7,6,7,7,9,13,13,15
Koper,24,24,20,12,12,11,11,12,9,15,14,19
Iskrba,2,2,2,1,1,1,1,1,1,0,1,3
Šoštanj,15,12,13,7,7,6,9,6,7,8,10,15
Zavodnje,7,5,8,5,5,4,2,4,4,5,5,7
Škale,11,8,10,5,3,3,4,4,4,5,7,12
Mobilna TEŠ,19,16,21,11,9,7,8,8,8,9,10,15
Sv. Mohor,10,7,7,4,4,3,4,3,5,6,6,9
LJ Center,41,29,40,39,49,37,34,35,36,39,38,39
Zadobrova,34,24,20,13,9,9,10,12,17,17,20,24
CE Gaji,30,28,27,16,14,12,11,11,13,14,16,21
MB Tezno,49,28,31,17,13,11,12,13,/,13,13,26
