Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,42,35,35,24,19,26,22,20,22,23,28,40
Maribor,32,40,43,30,32,28,25,24,26,27,39,47
Celje,37,43,43,18,17,16,16,15,15,26,33,39
Trbovlje,26,27,33,22,24,24,20,19,17,25,24,25
Nova Gorica,34,32,34,21,21,18,16,13,20,24,22,30
Murska S.-Rakičan,14,23,17,13,9,12,10,10,11,15,20,18
Zavodnje,11,8,4,2,1,2,1,1,1,2,3,5
Škale,7,9,5,3,1,1,0,0,0,4,17,15
Kovk,12,10,16,9,/,10,9,8,8,10,14,11
EIS TEB,8,/,/,3,4,2,/,1,3,/,/,/
Vnajnarje,7,5,4,3,2,3,3,2,2,3,4,11
EIS Celje,/,/,/,/,43,32,31,29,36,/,48,60
