Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,38,41,32,27,22,19,20,21,22,25,29,48
Maribor Center,55,32,36,30,24,27,32,31,29,34,29,40
Celje,41,44,34,22,12,12,14,18,24,27,30,38
MS Rakičan,28,28,19,16,11,12,11,10,11,8,12,21
Nova Gorica,38,33,31,24,18,17,17,17,19,21,25,40
Trbovlje,21,22,17,14,9,9,10,10,10,18,20,29
Zagorje,30,28,23,20,15,21,18,21,21,23,26,35
Koper,34,22,22,21,12,14,14,15,15,16,23,38
MB Vrbanski plato,28,19,18,12,8,7,7,5,6,11,18,28
Zavodnje,14,9,8,4,3,5,8,7,6,8,9,16
Škale,18,13,10,6,5,6,5,4,5,10,8,13
Kovk,13,10,9,8,6,9,9,11,9,17,19,31
Dobovec,9,5,4,4,8,9,8,10,23,26,35,34
Sv. Mohor,14,10,6,2,4,4,4,4,5,6,8,14
LJ Center,52,61,58,44,37,35,36,38,39,41,35,48
Vnajnarje,14,11,10,8,7,6,3,4,6,8,9,16
Zelena trava,17,12,14,15,12,13,18,23,21,16,17,22
AMP Gaji,33,43,33,25,15,7,10,13,13,13,14,28
