Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,36,37,32,22,20,17,17,19,24,30,24,38
Maribor,27,29,31,22,19,15,13,13,11,11,30,39
Celje,30,39,34,24,19,17,16,17,22,27,26,40
MS Rakičan,19,17,15,10,8,6,7,8,9,12,14,26
Nova Gorica,39,27,22,23,21,19,20,19,19,24,21,39
Trbovlje,22,25,22,15,13,10,10,10,12,16,15,24
Zagorje,23,32,25,18,15,15,13,13,19,23,21,26
Koper,24,17,24,22,15,13,13,14,15,17,17,27
Iskrba,3,3,3,2,2,1,1,1,1,2,3,3
Šoštanj,18,19,14,9,8,9,9,10,8,9,13,17
Zavodnje,8,7,8,3,4,3,3,4,4,6,7,8
Škale,11,12,12,5,4,4,4,4,4,7,9,13
Sv. Mohor,9,10,9,4,4,3,3,/,5,7,9,14
LJ Center,51,62,62,52,31,24,/,/,/,42,36,48
CE Gaji,27,30,26,16,10,11,10,8,9,17,18,23
MB Vrbanski,23,19,24,/,9,8,7,6,5,9,19,27
