Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,53.0,57.0,36.0,30.0,24.0,21.0,21.0,21.0,27.0,32.0,37.0,58
Ljubljana center,82.0,103.0,75.0,69.0,53.0,50.0,49.0,46.0,47.0,53.0,53.0,78
Maribor center,43.0,49.0,38.0,29.0,27.0,26.0,27.0,27.0,29.0,33.0,36.0,47
Celje,42.0,43.0,27.0,21.0,13.0,15.0,15.0,16.0,21.0,37.0,27.0,40
Trbovlje,26.0,31.0,20.0,20.0,14.0,9.0,9.0,10.0,19.0,25.0,28.0,35
Hrastnik,25.0,25.0,16.0,17.0,15.0,14.0,13.0,12.0,14.0,18.0,19.0,24
Nova Gorica,37.0,40.0,32.0,25.0,24.0,21.0,22.0,19.0,23.0,27.0,34.0,43
Koper,26.0,26.0,25.0,18.0,13.0,16.0,18.0,19.0,22.0,20.0,26.0,28
Iskrba,3.6,2.7,1.9,1.5,1.2,1.3,1.4,1.4,1.3,1.5,3.1,/
Vnajnarje,8.0,8.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,9
Zavodnje,8.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,7.0,6.0,10
Škale,13.0,13.0,9.0,4.0,5.0,6.0,6.0,2.0,7.0,7.0,10.0,11
Kovk,11.0,12.0,9.0,5.0,4.0,6.0,8.0,12.0,6.0,8.0,14.0,19
Dobovec,10.0,9.0,34.0,41.0,13.0,6.0,1.0,2.0,5.0,4.0,7.0,8
Sv.Mohor,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,3
