Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,15,15,19,12,9,11,13,18,17,26,19,41
Celje,37,43,21,28,20,9,10,23,27,17,21,18
Trbovlje,27,40,32,14,6,9,27,31,21,25,18,31
Zagorje,17,21,15,18,6,9,31,25,17,30,24,31
Hrastnik,19,25,44,16,8,9,42,30,32,19,29,29
Vnajnarje,53,46,17,44,63,16,18,21,22,28,63,56
Šoštanj,54,54,86,22,47,61,138,216,118,70,47,54
Topolšica,23,11,66,21,16,18,56,92,40,25,16,17
Zavodnje,49,34,56,14,20,388,48,58,91,29,20,97
Veliki vrh,147,58,195,23,70,415,127,163,78,68,70,47
Graška gora,18,36,19,18,19,6,8,33,11,7,19,53
Velenje,4,16,18,49,9,4,18,60,11,19,9,8
Pesje,19,16,53,18,15,23,54,96,37,36,15,26
Škale,28,41,58,54,30,29,59,67,38,63,30,43
Kovk,681,63,67,354,35,11,25,41,53,26,35,108
Dobovec,343,67,95,18,41,17,70,183,138,280,41,174
Kum,115,39,50,13,24,8,27,22,25,29,24,83
Ravenska vas,23,45,47,77,72,11,50,157,51,69,72,58
Sv. Mohor,20,19,15,23,21,13,16,46,17,16,21,12
LJ Center,11,8,8,12,9,10,17,13,9,20,9,13
AMP Gaji,55,17,36,29,21,17,19,27,11,16,21,22
Zelena trava,18,23,26,24,39,8,75,98,86,75,39,318
