Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,34,23,25,21,12,12,14,9,17,26,27,18
Celje,35,25,24,20,22,29,23,14,18,40,25,30
Trbovlje,26,17,14,10,11,11,5,8,8,8,13,15
Zagorje,34,11,8,11,10,33,8,8,8,8,4,6
Hrastnik,33,17,12,9,9,6,7,9,10,15,8,13
Vnajnarje,45,64,22,16,18,10,9,12,18,17,21,46
Šoštanj,35,47,37,42,19,37,11,10,12,12,19,13
Topolšica,28,27,44,18,18,17,19,21,11,30,16,12
Zavodnje,65,32,57,16,18,21,35,24,18,103,32,24
Veliki vrh,224,43,50,62,61,273,76,27,6,189,73,39
Graška gora,60,32,28,46,19,16,26,27,23,27,15,21
Velenje,11,8,10,10,11,11,14,15,9,10,10,11
Pesje,24,14,20,18,11,20,14,39,20,17,30,10
Škale,47,23,19,24,16,20,35,40,16,32,25,22
Kovk,48,28,17,17,22,/,/,/,/,/,/,/
Dobovec,72,18,22,21,21,/,/,/,/,/,/,/
Kum,47,26,25,20,21,/,/,/,/,/,/,/
Ravenska vas,29,14,17,18,14,/,/,/,/,/,/,/
Sv. Mohor,42,25,6,8,12,9,10,9,9,11,8,5
LJ Center,8,10,14,6,13,5,6,4,4,5,6,6
CE Gaji,24,19,28,15,42,34,17,26,28,49,33,34
