Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,29,23,18,25,8,4,8,5,7,16,14,20
Ljubljana center,16,22,17,16,8,12,13,17,9,9,8,15
Celje,44,33,21,25,46,15,14,6,17,29,40,64
Trbovlje,11,11,11,23,15,2,4,38,52,42,21,48
Hrastnik,28,38,44,12,5,6,6,17,46,33,26,43
Zagorje,45,33,21,11,11,14,8,34,57,33,46,35
Vnajnarje,45,43,23,15,16,13,12,12,18,20,18,43
Šoštanj,17,39,330,186,214,60,114,64,50,53,31,1357
Topolšica,23,18,52,32,35,28,52,40,24,22,17,39
Veliki Vrh,164,157,65,184,131,115,211,94,269,219,47,75
Zavodnje,46,32,76,60,61,91,46,81,59,98,56,33
Velenje,22,20,26,15,28,19,45,84,22,110,41,18
Graška Gora,106,60,68,25,45,36,16,58,12,20,26,41
Pesje,29,33,52,53,81,39,36,48,22,36,28,15
Škale,12,42,44,31,73,51,24,72,35,30,33,37
Kovk,69,86,159,27,10,11,24,87,139,38,36,56
Dobovec,178,109,209,8,6,5,74,55,91,86,154,88
Kum,29,32,99,33,39,15,18,10,14,11,12,39
Ravenska vas,65,70,108,65,18,17,17,86,560,175,261,35
Brestanica-sv.Mohor,49,45,45,32,53,65,32,62,27,23,66,46
