Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,30,37,21,6,3,3,5,7,20,21,16,23
CE bolnica,38,25,14,22,15,12,19,36,23,23,27,21
Trbovlje,12,15,15,10,7,7,3,4,4,13,4,6
Zagorje,7,27,13,6,7,7,5,2,6,5,6,10
Iskrba,1.6,11.2,10.5,9.7,4.7,/,/,/,/,/,/,/
Šoštanj,20,29,20,14,27,23,18,216,18,20,38,26
Topolšica,11,14,12,10,10,8,22,200,12,5,37,23
Zavodnje,63,15,10,14,141,10,14,166,26,49,95,40
Veliki vrh,41,42,13,76,33,24,62,9,50,87,25,21
Graška gora,17,18,17,14,24,73,11,40,110,22,15,22
Velenje,9,9,8,9,21,8,8,9,25,8,7,14
Pesje,5,13,11,9,29,7,14,7,25,11,12,23
Škale,7,8,10,14,25,16,10,11,26,18,12,23
Sv. Mohor,12,9,15,14,10,13,19,11,14,13,12,18
LJ Center,6,6,8,8,24,11,5,7,13,47,5,6
CE Gaji,31,19,29,43,41,19,19,23,7,30,39,33
