Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,24,26,28,10,10,8,13,7,12,18,37,22
Ljubljana center,18,23,77,18,21,11,16,17,25,10,17,13
Maribor center,20,33,27,6,13,4,6,7,12,9,20,16
Celje,29,40,33,16,20,13,17,42,18,28,68,57
Trbovlje,40,57,37,59,31,24,29,210,20,39,132,37
Hrastnik,21,52,61,20,20,24,27,40,32,36,90,23
Zagorje,27,207,38,41,28,23,19,192,228,43,59,8
Vnajnarje,21,35,29,14,18,35,10,59,29,16,85,24
Šoštanj,25,40,124,68,26,11,90,112,49,48,35,76
Topolšica,25,64,60,89,18,17,130,71,71,67,48,23
Veliki Vrh,313,464,300,636,128,105,247,231,62,151,121,56
Zavodnje,176,70,91,67,39,32,100,91,63,50,433,126
Velenje,39,24,30,39,26,13,11,21,18,7,89,13
Graška Gora,148,45,56,29,27,19,134,36,5,21,22,31
Pesje,44,31,81,48,25,14,37,42,30,14,46,24
Škale,190,31,83,35,31,35,30,42,57,26,37,46
Kovk,54,80,81,59,78,59,78,124,201,126,99,60
Dobovec,58,91,78,133,272,83,130,1036,146,157,308,63
Kum,16,23,22,28,66,26,16,6,14,16,24,20
Ravenska vas,57,477,71,161,67,42,48,454,528,109,253,49
Brestanica-sv.Mohor,23,48,33,9,19,30,7,12,10,14,59,152
