Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,16,17,21,16,12,12,13,18,15,24,26,19
Celje,19,29,21,15,10,12,17,17,34,23,36,31
Trbovlje,12,15,16,13,13,9,8,19,9,11,22,11
Zagorje,11,15,16,9,9,15,7,16,5,7,15,7
Hrastnik,13,19,19,9,8,11,9,20,9,8,18,23
Vnajnarje,26,22,35,9,5,19,9,25,28,17,47,41
Šoštanj,52,17,30,43,80,29,177,23,14,396,14,13
Topolšica,42,52,20,19,44,16,25,36,25,18,13,14
Zavodnje,274,31,12,9,7,6,33,30,34,37,22,45
Veliki vrh,108,87,60,99,25,29,91,143,55,98,12,140
Graška gora,22,35,57,10,22,10,15,25,8,52,49,46
Velenje,12,11,8,9,9,10,9,22,6,140,9,6
Pesje,57,15,16,18,42,19,13,7,7,184,12,23
Škale,21,16,22,19,28,10,17,24,20,230,11,13
Kovk,17,27,18,10,11,14,15,23,28,13,22,10
Dobovec,17,19,21,18,13,14,20,26,10,12,18,8
Kum,21,17,17,14,13,17,16,15,31,39,24,20
Ravenska vas,22,16,15,19,17,16,27,20,14,17,15,9
Sv. Mohor,30,32,35,17,12,14,32,15,21,10,23,12
LJ Center,6,6,9,10,17,8,7,10,5,4,15,12
AMP Gaji,12,26,27,37,33,9,33,16,14,33,20,35
Zelena trava,22,19,21,36,36,20,18,24,8,9,6,6
