Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,93,30,17,20,46,10,8,22,14,10,8,18
Ljubljana center,78,25,18,16,15,9,11,18,13,10,7,12
Maribor center,35,23,11,11,5,10,10,5,7,11,28,23
Celje,33,28,23,34,37,23,11,24,19,21,36,23
Trbovlje,27,52,35,30,10,53,76,47,20,26,14,12
Hrastnik,52,34,44,20,11,48,22,31,25,49,44,28
Zagorje,81,33,28,16,/,/,/,/,/,/,/,/
Nova Gorica,17,14,41,52,17,8,6,11,12,12,17,21
Šoštanj,19,80,122,45,75,122,342,59,79,79,61,14
Topolšica,34,88,55,27,21,39,51,118,72,65,37,34
Veliki Vrh,81,204,135,201,208,71,80,74,188,49,344,200
Zavodnje,75,72,409,54,85,55,149,64,72,577,87,57
Velenje,13,37,27,18,9,14,14,23,30,11,24,16
Graška Gora,84,80,119,57,40,345,129,19,136,64,49,18
Pesje,18,51,29,38,40,36,42,12,6,24,32,17
Škale,54,104,87,34,54,69,57,23,43,35,37,68
Kovk,82,76,389,135,40,334,87,57,73,116,157,92
Dobovec,456,93,85,397,29,55,138,63,75,81,81,107
Kum,60,23,18,38,12,16,35,24,15,20,50,21
Ravenska vas,85,32,49,117,26,67,352,130,90,43,26,49
Brestanica-sv.Mohor,45,28,37,30,31,29,25,35,50,33,43,82
