Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
CE bolnica,46,76,32,14,9,9,4,7,15,8,12,15
Iskrba,2,16,5,3,9,5,6,20,54,4,5,1
Zagorje,4,6,6,3,4,4,3,6,20,4,4,2
LJ Center,6,5,4,6,8,4,3,5,8,4,5,6
Zadobrova,10,15,12,9,8,5,6,13,25,8,6,9
CE Gaji,31,24,25,11,16,8,10,12,14,8,13,8
Sv. Mohor,6,8,9,5,12,5,5,27,22,9,4,5
Graška gora,6,7,171,6,7,22,10,15,190,21,12,22
Pesje,10,12,16,10,14,11,11,22,32,25,106,16
Škale,6,6,104,7,9,16,12,17,425,27,7,10
Šoštanj,7,7,35,7,4,21,55,15,144,25,16,19
Topolšica,5,6,12,11,13,8,8,17,18,25,8,6
Velenje,8,7,11,9,11,6,8,18,27,29,16,8
Veliki vrh,11,6,21,11,12,10,14,19,30,25,119,23
Zavodnje,10,13,23,7,8,21,16,14,25,22,26,112
Mobilna TEŠ,6,7,23,11,11,11,18,21,74,29,22,14
