Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,15,17,28,11,7,16,10,13,24,20,45,13
Celje,31,21,14,11,33,13,13,9,24,26,41,16
Trbovlje,12,44,10,7,6,7,7,29,30,10,35,16
Zagorje,26,44,16,13,9,10,15,26,17,13,41,15
Hrastnik,19,40,10,9,11,9,12,14,69,15,51,63
Vnajnarje,101,54,22,15,23,12,13,24,10,15,46,63
Šoštanj,37,38,78,333,129,47,72,29,49,55,26,19
Topolšica,13,13,57,47,27,27,86,50,26,90,21,13
Zavodnje,55,69,40,26,29,26,26,96,34,71,33,44
Veliki vrh,192,46,69,246,45,39,301,61,94,47,27,26
Graška gora,17,15,18,22,15,8,9,11,15,18,76,18
Velenje,12,9,13,19,18,19,9,6,12,12,18,11
Pesje,17,57,44,70,34,37,12,33,75,40,30,16
Škale,52,36,28,62,75,73,18,23,30,53,40,29
Kovk,63,42,24,17,59,14,35,44,286,19,44,18
Dobovec,109,90,16,18,27,19,52,43,277,33,39,12
Kum,28,17,11,10,31,8,36,7,27,30,48,14
Ravenska vas,46,46,30,17,48,13,36,75,43,20,37,12
Sv. Mohor,23,25,19,15,9,9,13,18,31,18,52,13
LJ Center,6,7,19,9,8,10,8,8,9,9,28,7
AMP Gaji,26,22,23,14,28,20,16,19,34,474,31,22
Zelena trava,43,60,61,6,43,22,41,68,50,16,58,35
