Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
CE bolnica,77,96,91,80,78,54,40,40,54,60,71,85
Iskrba,11,14,12,6,5,7,7,5,10,7,10,10
Koper,74,71,69,73,63,49,61,64,57,55,66,73
LJ Bežigrad,78,107,88,71,49,46,39,55,72,64,77,73
LJ Celovška,86,96,93,79,74,74,50,58,70,75,81,98
MB Titova,71,87,87,73,57,60,52,59,71,90,68,84
MB Vrbanski,46,47,53,43,25,16,18,18,20,30,50,43
MS Rakičan,48,53,72,45,29,25,23,20,47,57,51,53
NG Grčna,96,98,92,84,59,74,63,78,78,79,70,76
Novo mesto,56,68,67,56,30,31,34,28,29,29,45,45
Zagorje,68,74,69,52,40,49,42,29,44,40,57,59
LJ Center,103,122,116,104,96,111,87,99,112,94,99,104
Zadobrova,78,109,87,62,76,37,31,31,38,46,76,64
CE Gaji,75,77,58,63,55,38,31,37,45,52,70,62
Sv. Mohor,27,25,17,13,12,11,10,8,8,12,21,33
MB Tezno,66,86,79,52,42,39,36,49,51,58,72,81
Škale,41,24,28,18,21,17,13,14,26,16,29,38
Šoštanj,47,56,39,30,23,24,46,26,41,47,39,37
Zavodnje,17,43,23,15,14,20,18,19,18,35,26,26
Mobilna TEŠ,64,54,46,46,41,33,23,24,28,32,31,39
