Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,116,85,78,64,43,44,48,43,57,72,68,74
LJ Celovška,/,/,/,/,/,62,46,69,76,65,83,98
MB Titova,79,94,99,59,57,59,56,71,74,91,74,69
MB Vrbanski,/,/,/,/,/,/,20,22,24,40,45,43
CE bolnica,113,97,90,93,66,60,42,54,62,62,66,75
MS Rakičan,65,64,45,52,52,41,33,24,30,37,50,35
NG Grčna,119,90,100,83,61,60,66,72,86,68,94,78
Trbovlje,73,81,53,81,44,34,37,33,42,40,64,73
Zagorje,73,63,59,45,47,21,38,31,43,56,62,52
Koper,77,81,71,62,64,45,66,49,60,51,71,62
Iskrba,12,7,7,9,5,/,/,/,/,/,/,/
Šoštanj,68,50,37,37,34,35,33,30,29,29,42,47
Zavodnje,62,34,45,27,27,27,18,19,20,23,54,30
Škale,43,24,23,18,12,13,14,10,25,34,32,49
Sv. Mohor,41,25,21,22,17,15,22,14,19,24,27,37
LJ Center,135,123,104,84,73,76,86,80,99,80,98,92
CE Gaji,68,52,37,27,40,28,/,/,/,/,/,65
MB Tezno,129,112,111,100,84,69,40,50,73,66,76,66
