Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,110,139,112,101,112,78,58,88,101,106,86,105
Ljubljana center,158,167,160,153,132,120,115,168,165,141,163,144
Maribor center,123,138,123,113,87,84,87,113,85,93,85,109
Maribor Vrbanski p.,70,49,83,41,30,32,33,27,22,49,68,65
Celje,85,98,114,93,64,71,55,55,78,70,85,73
Trbovlje,80,93,84,69,60,50,45,49,41,45,37,39
Murska S. Rakičan,80,105,80,63,47,36,48,38,53,61,64,51
Nova Gorica,101,127,122,105,101,77,75,85,111,127,125,96
Koper,77,111,95,86,66,74,66,65,71,78,69,72
Vnajnarje,54,33,20,24,15,17,13,11,16,41,67,55
Zavodnje,65,78,106,75,60,57,51,108,69,70,93,79
Škale,51,49,78,59,60,39,48,29,65,69,42,50
Kovk,54,60,69,48,63,56,65,55,66,67,46,36
Dobovec,27,40,32,39,52,30,106,46,66,58,85,59
Sveti Mohor,35,38,33,25,22,55,25,28,32,34,56,54
