Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,119,95,118,74,49,52,69,50,64,79,72,62
LJ Celovška,113,108,119,94,73,59,61,60,67,77,90,63
MB Titova,92,96,127,82,75,89,68,70,62,73,68,64
MB Vrbanski,54,59,59,58,38,17,24,21,25,27,35,41
CE bolnica,86,101,110,77,81,50,79,70,60,53,65,61
MS Rakičan,70,49,78,39,30,30,32,30,28,42,38,47
NG Grčna,109,108,137,114,80,67,83,69,74,81,67,69
Zagorje,69,76,92,71,43,47,41,39,41,48,50,44
Novo mesto,57,68,72,51,38,37,38,33,47,45,49,49
Koper,69,78,76,116,76,56,63,74,55,73,52,56
Iskrba,11,9,6,10,5,7,4,4,9,5,8,21
Šoštanj,55,43,47,27,23,31,32,27,32,50,42,43
Zavodnje,43,20,21,12,14,14,10,41,14,17,14,33
Škale,41,31,29,19,33,12,12,15,29,34,21,38
Mobilna TEŠ,45,49,64,38,43,33,49,38,29,31,27,42
Sv. Mohor,39,25,19,19,16,18,20,10,18,21,33,25
LJ Center,124,104,142,115,118,88,121,98,93,100,91,83
Zadobrova,79,58,65,51,41,38,42,46,49,68,59,63
CE Gaji,73,82,77,60,49,38,34,36,49,54,50,57
MB Tezno,149,96,129,96,54,61,54,96,/,48,44,68
