Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,90,106,90,79,64,57,66,83,90,107,91,81
Maribor,85,133,106,103,77,86,79,75,83,79,88,90
Celje,90,120,94,83,51,53,89,35,57,53,66,50
Trbovlje,72,86,77,70,82,61,60,57,65,86,93,80
Murska S.-Rakičan,74,91,63,60,45,58,51,59,51,66,70,67
Nova Gorica,114,107,85,108,107,89,80,78,78,104,105,106
Koper,80,108,175,79,75,75,63,58,71,94,66,62
Vnajnarje,48,60,36,30,26,27,11,26,28,21,41,39
Zavodnje,55,96,74,39,39,51,86,55,90,54,68,50
Škale,47,66,55,47,61,56,47,32,26,30,4,57
Kovk,75,63,73,70,64,65,66,72,46,47,52,53
EIS TEB (Sv.Mohor),59,32,19,32,18,35,42,50,42,50,44,55
