Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,78,112,107,67,50,49,45,67,83,79,87,85
LJ Celovška,87,100,105,86,67,66,62,90,92,82,91,107
MB Titova,79,108,110,97,82,77,63,59,84,84,81,65
MB Vrbanski,47,49,49,29,37,26,18,18,31,34,46,58
CE bolnica,90,92,87,81,62,60,63,43,67,73,61,76
MS Rakičan,50,68,51,46,23,28,30,18,43,56,50,60
NG Grčna,79,108,103,86,84,68,58,88,123,88,98,109
Deskle,42,47,49,52,47,53,62,43,73,51,31,41
Trbovlje,78,76,70,72,45,/,/,/,/,/,/,/
Zagorje,69,69,76,61,46,41,36,41,61,59,52,54
Novo mesto,60,69,65,45,52,46,28,35,55,57,46,44
Koper,69,82,89,76,53,81,51,58,79,69,62,65
Iskrba,9,14,13,5,4,9,4,3,6,7,19,9
Šoštanj,43,56,41,39,26,23,51,47,38,36,41,47
Zavodnje,32,30,17,11,28,23,32,15,73,26,27,58
Škale,79,30,23,18,18,15,26,40,17,35,29,39
Mobilna TEŠ,40,44,42,34,26,29,49,29,33,28,44,45
Sv. Mohor,37,34,24,19,13,15,11,12,15,24,29,40
LJ Center,85,130,119,84,74,54,96,113,127,70,70,96
Zadobrova,77,59,68,56,37,54,38,34,53,47,52,63
CE Gaji,64,64,65,57,80,39,35,31,72,41,58,59
MB Tezno,96,103,112,91,61,70,47,73,86,75,69,103
