Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,173,123,107,83,70,77,74,72,96,79,103,91
Maribor,144,182,138,126,159,152,94,173,178,191,236,94
Celje,128,104,102,93,96,90,75,57,71,70,172,109
Trbovlje,84,90,96,79,80,78,81,55,62,78,81,64
Murska S.-Rakičan,38,69,71,62,73,34,62,31,55,73,75,56
Nova Gorica,95,95,76,73,59,70,58,55,74,82,98,100
Vnajnarje,48,60,36,30,26,27,11,26,28,21,41,39
Zavodnje,55,96,74,39,39,51,86,55,90,54,68,50
Škale,47,66,55,47,61,56,47,32,26,30,4,57
Kovk,75,63,73,70,64,65,66,72,46,47,52,53
EIS TEB (Sv.Mohor),59,32,19,32,18,35,42,50,42,50,44,55
