Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,111,127,116,106,63,66,63,66,82,84,60,96
Maribor,64,67,103,74,51,51,35,42,35,33,122,95
Celje,105,103,123,85,65,70,55,56,76,84,73,94
MS Rakičan,56,70,57,46,42,27,26,35,45,46,55,75
Nova Gorica,106,111,63,81,61,59,65,66,64,63,56,116
Trbovlje,64,84,78,74,57,39,33,46,45,66,58,77
Zagorje,76,94,84,53,50,36,46,44,58,60,62,68
Koper,81,83,82,87,60,59,51,64,73,77,59,74
Iskrba,16,10,11,6,4,6,14,11,5,5,11,13
Šoštanj,56,57,65,34,56,41,36,24,29,33,37,53
Zavodnje,29,33,32,16,34,52,29,33,24,32,28,37
Škale,30,43,40,25,31,45,15,21,15,28,26,39
Sv. Mohor,32,37,35,19,14,15,21,17,20,32,32,48
LJ Center,115,150,141,141,102,47,/,/,/,98,77,115
CE Gaji,71,92,105,51,43,39,28,30,43,48,66,67
MB Vrbanski,75,80,98,/,30,30,24,27,24,51,69,83
