Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,151,122,129,87,71,59,74,63,51,62,81,156
Maribor,97,117,120,92,96,106,91,111,106,116,169,156
Celje,95,153,125,102,73,74,59,65,56,77,111,94
Trbovlje,78,81,100,91,68,71,80,60,88,75,60,59
Nova Gorica,92,90,104,81,75,65,63,51,59,59,58,64
Murska S.-Rakičan,46,95,73,54,40,44,43,41,54,80,63,62
Zavodnje,74,83,58,77,60,59,38,58,33,2,39,72
Škale,51,83,81,67,53,34,53,32,20,4,49,59
Kovk,59,99,97,65,/,73,76,56,61,10,63,66
EIS TEB,83,/,/,30,31,38,/,23,22,/,/,/
Vnajnarje,42,58,24,15,16,30,13,12,21,24,41,44
EIS Celje,/,/,/,/,107,82,96,74,86,/,140,130
