Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
CE bolnica,30.0,34.0,28.0,18.0,11.0,24.0,19.0,13.0,19.0,24.0,28.0,33.0
CE Mariborska,35.0,40.0,31.0,21.0,,,,,,,,
CE Ljubljanska,,,,10.0,22.0,16.0,13.0,19.0,23.0,30.0,32.0,
Deskle,20.0,28.0,16.0,10.0,8.0,15.0,12.0,9.0,11.0,12.0,12.0,15.0
Hrastnik,22.0,25.0,21.0,14.0,9.0,20.0,16.0,13.0,17.0,21.0,25.0,25.0
Iskrba,5.0,10.0,8.0,6.0,6.0,18.0,14.0,11.0,12.0,10.0,7.0,5.0
Koper,17.0,28.0,19.0,12.0,9.0,23.0,15.0,13.0,15.0,14.0,15.0,16.0
Kranj,28.0,29.0,22.0,14.0,9.0,19.0,15.0,12.0,17.0,20.0,27.0,34.0
LJ Bežigrad,28.0,27.0,22.0,13.0,9.0,24.0,18.0,15.0,19.0,23.0,24.0,33.0
LJ Biotehniška,25.0,24.0,20.0,,,,,,,,,
LJ Celovška,29.0,29.0,23.0,15.0,10.0,23.0,17.0,14.0,19.0,24.0,26.0,34.0
LJ Vič,,23.0,16.0,10.0,27.0,18.0,15.0,20.0,24.0,26.0,33.0,
MB Titova,,36.0,24.0,18.0,13.0,28.0,21.0,15.0,20.0,23.0,23.0,23.0
MB Vrbanski,16.0,29.0,17.0,12.0,8.0,20.0,15.0,11.0,15.0,18.0,17.0,17.0
MS Cankarjeva,33.0,43.0,26.0,17.0,11.0,23.0,18.0,12.0,18.0,28.0,32.0,36.0
MS Rakičan,24.0,36.0,22.0,15.0,9.0,20.0,16.0,10.0,17.0,24.0,25.0,29.0
NG Grčna,23.0,31.0,20.0,12.0,9.0,18.0,13.0,10.0,14.0,16.0,17.0,25.0
NG Vojkova,25.0,37.0,23.0,14.0,11.0,23.0,17.0,14.0,19.0,17.0,19.0,27.0
Novo mesto,27.0,28.0,19.0,14.0,9.0,20.0,15.0,11.0,15.0,21.0,24.0,26.0
Ptuj,25.0,34.0,24.0,16.0,9.0,24.0,16.0,11.0,17.0,24.0,27.0,29.0
Trbovlje Nasipi,30.0,28.0,22.0,14.0,10.0,,,,,,,
Trbovlje park,,,,,8.0,18.0,14.0,11.0,14.0,21.0,24.0,30.0
Velenje,14.0,23.0,18.0,11.0,8.0,19.0,14.0,11.0,17.0,17.0,18.0,16.0
Zagorje,32.0,30.0,24.0,16.0,12.0,23.0,18.0,13.0,17.0,22.0,24.0,28.0
Žerjav,28.0,26.0,25.0,21.0,16.0,27.0,18.0,13.0,17.0,18.0,22.0,28.0
Pesje,15.0,23.0,20.0,14.0,8.0,22.0,15.0,10.0,16.0,17.0,19.0,16.0
Škale,16.0,24.0,20.0,14.0,8.0,20.0,14.0,11.0,16.0,18.0,21.0,19.0
Šoštanj,17.0,23.0,20.0,14.0,6.0,16.0,11.0,8.0,16.0,20.0,22.0,22.0
Mobilna TEŠ,17.0,21.0,17.0,12.0,7.0,18.0,12.0,7.0,13.0,16.0,20.0,19.0
LJ Center,42.0,40.0,34.0,24.0,17.0,33.0,21.0,17.0,25.0,38.0,30.0,36.0
Zadobrova,28.0,31.0,25.0,19.0,15.0,31.0,24.0,22.0,24.0,22.0,21.0,25.0
Medvode,34.0,29.0,20.0,12.0,6.0,16.0,12.0,9.0,14.0,20.0,25.0,32.0
CE Gaji,28.0,28.0,21.0,17.0,17.0,21.0,17.0,14.0,21.0,20.0,29.0,
MB Tezno,25.0,36.0,22.0,16.0,11.0,22.0,17.0,12.0,17.0,23.0,25.0,28.0
Miklavič,29.0,36.0,24.0,17.0,10.0,22.0,18.0,13.0,18.0,25.0,30.0,34.0
Spuhlja,30.0,38.0,28.0,20.0,12.0,24.0,19.0,13.0,18.0,26.0,30.0,37.0
Ruše,17.0,26.0,17.0,13.0,9.0,20.0,15.0,10.0,14.0,17.0,18.0,18.0
Grosuplje,35.0,34.0,31.0,21.0,14.0,26.0,19.0,16.0,22.0,28.0,31.0,35.0
Slovenj Gradec,25.0,25.0,20.0,14.0,8.0,20.0,14.0,10.0,15.0,17.0,18.0,25.0
Morsko,17.0,27.0,16.0,10.0,8.0,17.0,13.0,9.0,11.0,12.0,12.0,14.0
Gorenje polje,19.0,32.0,22.0,13.0,9.0,18.0,14.0,11.0,14.0,14.0,14.0,17.0
