Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,54,18,20,18,13,14,14,13,19,18,24,64
Maribor,54,22,23,23,21,21,18,17,23,23,29,55
Celje,68,30,32,24,18,17,16,16,22,23,36,78
MS Rakičan,59,26,23,18,14,14,14,13,20,21,34,54
Nova Gorica,48,24,22,17,11,13,14,12,18,15,25,36
Trbovlje,60,26,28,19,15,14,15,13,18,21,27,63
Zagorje,64,26,27,19,19,14,14,13,18,24,33,77
Hrastnik,46,20,21,17,14,14,15,13,19,17,23,48
Koper,40,21,18,18,13,15,16,14,17,13,19,28
Iskrba,13,7,11,11,10,12,13,12,14,9,10,15
Žerjav,39,21,21,24,18,18,15,15,19,15,23,45
LJ Biotehniška,58,22,25,20,15,16,17,15,20,20,27,62
Kranj,51,24,23,19,13,14,14,13,19,20,26,61
Novo mesto,59,25,26,18,14,13,15,14,19,21,31,56
Velenje,36,20,19,17,12,12,14,13,19,15,19,37
MB Vrbanski,39,14,17,16,12,15,16,12,15,15,21,42
Vnajnarje,22,10,13,21,14,16,19,16,23,13,13,24
Pesje,31,18,22,21,22,24,14,12,18,26,27,35
Škale,23,13,14,16,13,13,13,13,17,13,15,25
Šoštanj,29,17,18,16,12,10,15,15,22,18,21,34
Prapretno,27,14,16,18,14,15,18,17,21,15,18,26
Morsko,36,16,17,14,10,13,13,10,14,9,17,26
Gorenje Polje,27,16,20,15,10,14,15,11,15,10,20,26
LJ Center,70,32,36,34,27,26,29,27,34,33,36,79
AMP Gaji,62,21,24,21,16,19,13,13,21,20,31,65
Miklavič,56,22,25,19,15,16,18,15,19,23,33,68
