Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ljubljana bež.,68,58,59,39,41,44,34,45,38,36,43,49
maribor,65,95,77,53,51,53,41,50,47,45,63,56
celje,76,81,71,46,45,43,36,45,42,40,48,55
trbovlje,58,64,93,61,48,44,34,44,39,39,43,48
zagorje,64,71,76,48,45,47,37,43,44,39,43,58
nova gorica,38,39,51,36,37,36,33,40,33,29,34,36
murska s.-rakičan,70,62,54,43,34,36,30,37,37,31,38,46
mo maribor,53,66,53,42,42,38,30,31,35,36,36,42
pesje,30,40,48,33,33,27,25,29,26,25,26,25
škale,27,38,36,27,26,23,20,27,23,21,23,23
