Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,40,40,35,16,16,17,19,18,19,22,27,42
Ljubljana BF (R),35,38,30,15,15,17,18,19,21,23,28,40
Maribor center (R),37,47,36,25,21,21,21,20,32,33,33,33
Kranj (R),35,45,32,15,16,17,17,19,19,24,29,41
Novo mesto (R),46,55,34,18,15,18,17,18,18,27,35,43
Celje (R),47,59,42,19,17,18,17,19,21,26,41,48
Trbovlje (R),51,56,60,19,18,19,19,18,21,24,35,51
Zagorje (R),56,56,45,20,21,20,19,18,20,25,35,51
Hrastnik (R),33,38,36,17,16,17,16,17,18,21,26,35
Murska S. Rakičan (R),38,55,33,19,18,18,16,18,19,25,37,48
Nova Gorica (R),38,35,32,17,16,19,18,18,19,21,28,32
Koper,29,34,32,20,17,20,21,21,19,23,23,25
Žerjav (R),55,61,37,22,18,19,20,19,20,23,30,37
Iskrba (R),13,23,18,12,14,16,14,12,15,17,17,9
Zelena trava,16,28,27,11,15,16,18,16,15,16,18,16
Ljubljana center,53,60,56,41,32,37,40,46,38,42,44,51
Morsko,27,29,27,13,13,15,15,17,17,18,21,25
Gorenje Polje,31,30,32,13,14,17,17,16,17,22,23,25
Maribor Vrbanski p.,27,35,30,17,18,20,20,22,19,22,26,24
Vnajnarje,22,34,28,23,22,24,26,25,22,18,18,15
Pesje,13,21,31,16,16,23,23,21,20,21,22,19
Škale,22,34,27,18,19,21,22,21,22,20,21,17
Prapretno,27,41,38,22,22,28,28,28,26,25,29,25
