Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,45,55,37,25,22,17,17,21,24,29,55,43
Ljubljana BF (R),45,50,33,23,23,18,16,18,20,23,49,41
Maribor center (R),49,63,45,28,28,25,20,21,23,26,52,37
Kranj (R),43,55,39,24,19,15,16,19,21,24,50,40
Novo mesto (R),51,59,42,24,20,15,14,17,20,28,55,38
Celje (R),51,64,47,27,23,16,15,19,22,32,60,43
Trbovlje (R),47,64,47,29,21,18,18,23,23,33,57,40
Zagorje (R),54,70,51,30,25,21,19,21,23,31,56,42
Hrastnik (R),42,54,39,25,21,17,16,19,21,27,49,32
Murska S. Rakičan (R),50,67,48,24,21,15,14,18,20,29,55,42
Nova Gorica (R),38,45,36,25,21,16,14,17,20,19,35,36
Koper,35,44,33,24,23,18,18,23,23,18,35,27
Žerjav (R),64,63,45,30,23,19,16,17,18,26,49,53
Iskrba (R),16,26,17,13,19,15,13,14,16,12,26,10
Ljubljana center,57,70,49,40,39,32,31,41,29,32,62,55
Morsko,28,34,30,18,16,14,12,18,17,14,31,26
Gorenje Polje,30,35,33,20,17,14,13,15,18,16,33,29
Maribor Vrbanski p.,37,47,35,20,18,16,15,20,19,24,44,23
Vnajnarje,23,39,32,29,26,21,22,0,25,21,27,13
Pesje,25,44,32,24,19,14,14,16,17,17,27,16
Škale,34,46,32,24,13,12,12,15,16,19,35,19
Prapretno,36,54,40,31,33,26,23,31,30,28,49,26
