Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bež.,54,49,34,24,17,20.0,22,17,18,31,26,44
Ljubljana BF,56,43,29,23,15,15.0,20,15,15,24,24,41
Ljubljana center,224,127,68,58,35,48.0,50,41,55,64,62,128
Maribor center,57,51,34,33,21,20.0,24,20,21,36,32,41
Kranj,60,53,32,31,17,18.0,21,14,18,30,27,44
Novo mesto,54,52,32,23,15,17.0,20,17,18,36,34,61
Celje,56,49,38,30,17,20.0,22,18,20,35,31,50
Trbovlje,54,48,40,31,20,20.0,23,19,20,40,32,55
Zagorje,61,56,48,27,19,22.0,24,22,26,39,37,57
Hrastnik,46,39,34,23,16,18.0,21,17,17,28,27,38
M. S.-Rakičan,57,55,31,21,16,20.0,21,17,18,32,32,41
Nova Gorica,35,36,36,27,22,,23,22,17,26,33,36
Koper,32,29,38,22,18,21.0,25,20,20,29,24,22
Žerjav,64,44,25,19,15,17.0,19,14,13,26,31,27
Iskrba,27,17,18,14,12,12.0,15,12,11,16,9,11
Morsko,27,26,31,17,13,15.0,18,14,9,16,19,24
Gorenje Polje,26,25,36,18,13,16.0,17,13,11,17,24,24
Maribor Tabor,47,44,29,27,23,25.0,29,23,24,35,22,30
Vnajnarje,53,48,30,32,26,31.0,50,39,36,39,30,57
Pesje,63,71,43,41,68,31.0,35,28,39,44,40,70
Škale,75,71,42,39,34,58.0,38,33,46,53,39,94
Prapretno,84,70,45,46,37,53.0,56,37,40,53,51,103
