Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
lj bežigrad,36,39,21,22,10,20,14,16,13,19,18,31
maribor,37,33,20,26,14,24,18,16,15,20,22,27
celje,42,50,30,30,15,22,17,19,16,21,23,36
ms rakičan,35,34,19,24,11,20,17,15,14,19,22,28
nova gorica,30,37,23,20,10,19,13,15,14,20,15,25
trbovlje,26,44,26,30,11,19,13,15,13,20,24,37
zagorje,43,49,27,25,12,21,17,17,15,20,22,36
hrastnik,28,33,20,23,10,19,15,15,12,18,18,25
koper,17,25,18,20,10,21,15,17,12,20,13,17
iskrba,11,11,9,16,7,16,12,14,10,12,6,8
žerjav,28,26,19,22,14,22,14,16,14,19,15,26
lj biotehniška,31,32,18,20,9,20,14,15,12,17,17,26
kranj,33,31,21,19,10,19,14,15,13,19,17,25
novo mesto,40,36,23,24,11,18,13,16,13,16,19,30
velenje,25,27,18,20,9,16,12,15,13,18,13,18
lj gospodarsko,37,44,23,25,12,23,17,18,16,21,19,32
ng grčna,32,39,24,21,13,23,16,19,17,25,18,29
ce mariborska,53,55,32,30,14,21,16,18,17,22,27,41
mb vrbanski,25,25,15,21,11,23,17,14,11,15,15,19
ms cankarjeva,46,44,26,27,13,21,17,17,15,22,25,35
pesje,17,20,16,20,10,21,16,17,14,16,12,14
škale,16,19,15,19,9,20,15,17,12,14,12,13
šoštanj,25,29,19,22,10,19,13,15,14,20,17,17
morsko,19,28,17,15,8,15,11,14,10,17,8,16
gorenje polje,27,36,21,18,8,16,12,15,13,17,8,19
lj center,52,51,30,33,20,29,29,33,25,26,31,32
ce gaji,48,43,24,27,13,23,15,17,13,17,18,19
miklavž,46,47,24,26,13,24,21,16,13,20,20,32
ptuj,32,36,20,25,12,23,18,16,13,18,20,26
medvode,31,33,22,19,9,15,10,12,7,7,8,9
ruše,25,25,17,20,11,22,16,14,10,17,20,20
