Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bezigrad,83.0,90.0,54.0,29.0,25.0,22.0,20.0,23.0,35.0,76.0,77.0,101.0
Maribor,97.0,80.0,56.0,42.0,38.0,40.0,31.0,34.0,47.0,74.0,76.0,78.0
Celje,86.0,65.0,58.0,34.0,26.0,22.0,22.0,28.0,33.0,70.0,71.0,93.0
MS Rakičan,29.0,21.0,,21.0,29.0,31.0,25.0,22.0,26.0,28.0,34.0,41.0
Nova Gorica,76.0,68.0,51.0,35.0,26.0,25.0,23.0,28.0,44.0,67.0,90.0,126.0
Trbovlje,46.0,43.0,45.0,27.0,23.0,21.0,20.0,23.0,39.0,70.0,79.0,88.0
Zagorje,60.0,57.0,48.0,36.0,31.0,29.0,26.0,27.0,33.0,48.0,51.0,53.0
Koper,17.0,30.0,28.0,18.0,18.0,19.0,19.0,17.0,13.0,20.0,23.0,34.0
Vnajnarje,16.0,16.0,23.0,17.0,19.0,25.0,19.0,15.0,18.0,22.0,25.0,34.0
Šoštanj,22.0,18.0,53.0,48.0,79.0,34.0,58.0,52.0,37.0,41.0,39.0,36.0
Zavodnje,18.0,17.0,9.0,5.0,4.0,5.0,3.0,5.0,2.0,6.0,7.0,10.0
Škale,21.0,19.0,16.0,13.0,5.0,5.0,6.0,10.0,10.0,3.0,11.0,13.0
Kovk,,4.0,5.0,8.0,4.0,,,,,,,
Dobovec,,,2.0,,,,,,,,,
Sv. Mohor,15.0,10.0,6.0,3.0,2.0,4.0,5.0,4.0,4.0,7.0,10.0,14.0
LJ Center,163.0,170.0,122.0,73.0,70.0,64.0,59.0,70.0,87.0,140.0,136.0,189.0
CE Gaji,83.0,57.0,52.0,38.0,36.0,22.0,29.0,27.0,30.0,53.0,60.0,82.0
MB Vrbanski,34.0,30.0,16.0,10.0,8.0,8.0,7.0,7.0,10.0,17.0,23.0,22.0
