Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,91.0,45.0,46,23,27,21,20.0,23.0,34,42,65,131.0
Ljubljana center,157.0,115.0,107,74,74,66,62.0,71.0,87,89,99,147.0
Maribor center,74.0,83.0,84,63,45,45,38.0,47.0,50,70,82,93.0
Maribor Vrbanski plato,23.0,26.0,20,15,10,10,8.0,8.0,10,18,23,29.0
Celje,89.0,79.0,70,29,23,21,21.0,27.0,37,43,62,97.0
Trbovlje,46.0,35.0,46,22,20,21,17.0,23.0,28,30,37,57.0
Zagorje,,,56,41,35,36,29.0,31.0,41,50,63,91.0
Murska Sobota Rakičan,33.0,32.0,26,22,22,18,20.0,23.0,27,30,32,43.0
Nova Gorica,92.0,50.0,52,31,25,27,22.0,28.0,37,50,72,110.0
Koper,40.0,31.0,32,16,19,15,16.0,17.0,15,16,25,45.0
Zelena trava,19.0,15.0,25,6,3,1,,,5,17,26,23.0
Vnajnarje,11.0,11.0,10,10,9,11,12.0,10.0,11,12,12,18.0
Zavodnje,10.0,8.0,11,10,10,7,10.0,10.0,9,14,10,11.0
Škale,12.0,10.0,6,6,6,7,5.0,7.0,5,12,14,14.0
Kovk,10.0,5.0,5,2,4,4,2.0,4.0,14,16,18,
Dobovec,10.0,13.0,11,3,3,2,2.0,1.0,2,6,9,10.0
Sveti Mohor,12.0,13.0,9,4,5,5,6.0,7.0,6,8,10,16.0
